,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
1,0500000US01003,"Baldwin County, Alabama",18821,1383,914,9211,180484,208563
2,0500000US01015,"Calhoun County, Alabama",24160,803,1064,4100,84357,114611
3,0500000US01043,"Cullman County, Alabama",1052,633,763,3567,79032,82471
4,0500000US01049,"DeKalb County, Alabama",1087,862,74,10109,62139,70900
5,0500000US01051,"Elmore County, Alabama",0,0,0,780,0,81799
6,0500000US01055,"Etowah County, Alabama",16417,484,858,3894,83159,102564
7,0500000US01069,"Houston County, Alabama",27762,443,1054,3380,71838,104056
8,0500000US01073,"Jefferson County, Alabama",279979,1799,8366,24554,340506,659521
9,0500000US01077,"Lauderdale County, Alabama",9513,132,720,2374,80596,92318
10,0500000US01081,"Lee County, Alabama",37968,0,6648,6000,111185,158991
11,0500000US01083,"Limestone County, Alabama",14066,599,364,5361,76272,92753
12,0500000US01089,"Madison County, Alabama",87415,2547,8383,17212,243688,356967
13,0500000US01095,"Marshall County, Alabama",2764,369,746,12818,89605,95157
14,0500000US01097,"Mobile County, Alabama",148001,3328,8269,11581,243284,414836
15,0500000US01101,"Montgomery County, Alabama",130006,339,5753,7571,81740,226349
16,0500000US01103,"Morgan County, Alabama",14431,763,1076,9656,93591,119012
17,0500000US01115,"St. Clair County, Alabama",0,0,0,2099,0,88019
18,0500000US01117,"Shelby County, Alabama",24066,211,4535,12090,168484,210622
19,0500000US01121,"Talladega County, Alabama",26589,70,548,1758,51823,80103
20,0500000US01125,"Tuscaloosa County, Alabama",66183,34,3413,7229,132006,206102
21,0500000US01127,"Walker County, Alabama",0,0,0,1598,0,64967
22,0500000US02020,"Anchorage Municipality, Alaska",16102,23916,27142,26907,184841,298192
23,0500000US02090,"Fairbanks North Star Borough, Alaska",4385,7427,3875,7949,75501,100605
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",1019,5455,1083,4983,86314,104365
25,0500000US04001,"Apache County, Arizona",112,53520,106,4306,16162,73112
26,0500000US04003,"Cochise County, Arizona",5077,1875,2783,44044,109899,125770
27,0500000US04005,"Coconino County, Arizona",2166,37010,2670,19486,91167,140908
28,0500000US04013,"Maricopa County, Arizona",230642,82300,168720,1302419,3227510,4242997
29,0500000US04015,"Mohave County, Arizona",1614,4870,2029,33244,187492,205249
30,0500000US04017,"Navajo County, Arizona",755,49003,897,12330,50543,110026
31,0500000US04019,"Pima County, Arizona",34344,32670,28713,373956,774608,1016206
32,0500000US04021,"Pinal County, Arizona",18679,21796,8568,123040,337571,418540
33,0500000US04025,"Yavapai County, Arizona",1130,3491,2368,32369,209960,225562
34,0500000US04027,"Yuma County, Arizona",3696,2926,2719,129159,112651,205631
35,0500000US05007,"Benton County, Arkansas",3896,2656,9343,42298,228649,258291
36,0500000US05031,"Craighead County, Arkansas",15243,0,1394,5191,84134,105835
37,0500000US05045,"Faulkner County, Arkansas",12771,277,1404,4895,100295,122227
38,0500000US05051,"Garland County, Arkansas",8471,989,1046,5302,84195,97477
39,0500000US05069,"Jefferson County, Arkansas",40177,46,291,1430,28485,70016
40,0500000US05085,"Lonoke County, Arkansas",3884,292,1032,3212,63910,72228
41,0500000US05119,"Pulaski County, Arkansas",142430,799,8604,23797,218346,393250
42,0500000US05125,"Saline County, Arkansas",8393,887,1212,5386,106655,118703
43,0500000US05131,"Sebastian County, Arkansas",8645,1893,5547,17789,93101,127793
44,0500000US05143,"Washington County, Arkansas",8608,2189,5402,37407,174457,228049
45,0500000US05145,"White County, Arkansas",0,0,0,3335,0,79263
46,0500000US06001,"Alameda County, California",174855,10122,483856,371072,688067,1647704
47,0500000US06007,"Butte County, California",3563,2567,10665,36282,187892,226864
48,0500000US06013,"Contra Costa County, California",97413,3159,183849,288713,658852,1135127
49,0500000US06017,"El Dorado County, California",1795,2379,8904,23699,162495,185625
50,0500000US06019,"Fresno County, California",47646,10176,101993,517263,640619,979915
51,0500000US06023,"Humboldt County, California",1172,7228,4212,15502,110795,136646
52,0500000US06025,"Imperial County, California",4122,1808,2731,151497,110971,180883
53,0500000US06029,"Kern County, California",47668,11936,40615,467575,642077,884788
54,0500000US06031,"Kings County, California",10028,2083,5238,81140,99706,149785
55,0500000US06033,"Lake County, California",914,2815,343,12800,49293,64116
56,0500000US06037,"Los Angeles County, California",826516,65370,1474575,4918830,5093898,10137915
57,0500000US06039,"Madera County, California",4535,3262,2748,88801,109705,154697
58,0500000US06041,"Marin County, California",6114,274,13886,41727,200426,260651
59,0500000US06045,"Mendocino County, California",412,3169,1125,21866,71202,87628
60,0500000US06047,"Merced County, California",8492,2522,21156,158200,149377,268672
61,0500000US06053,"Monterey County, California",11055,1903,24852,253843,242774,435232
62,0500000US06055,"Napa County, California",2718,1160,11301,48247,110943,142166
63,0500000US06057,"Nevada County, California",197,490,1742,9368,91701,99107
64,0500000US06059,"Orange County, California",53602,13443,637622,1086691,1986194,3172532
65,0500000US06061,"Placer County, California",5796,2292,26369,52567,309901,380531
66,0500000US06065,"Riverside County, California",152433,20442,149105,1156169,1406044,2387741
67,0500000US06067,"Sacramento County, California",148706,10265,230645,347638,882763,1514460
68,0500000US06071,"San Bernardino County, California",182864,15077,152270,1129893,1314742,2140096
69,0500000US06073,"San Diego County, California",165878,24980,389369,1112325,2385470,3317749
70,0500000US06075,"San Francisco County, California",43468,3054,300409,132538,404410,870887
71,0500000US06077,"San Joaquin County, California",52126,5428,111547,302152,417952,733709
72,0500000US06079,"San Luis Obispo County, California",5167,2262,10989,63172,238692,282887
73,0500000US06081,"San Mateo County, California",17413,3102,214801,189309,388724,764797
74,0500000US06083,"Santa Barbara County, California",8202,4863,24802,201344,341741,446170
75,0500000US06085,"Santa Clara County, California",47142,8787,683532,497340,844820,1919402
76,0500000US06087,"Santa Cruz County, California",2908,1797,13692,92088,203973,274673
77,0500000US06089,"Shasta County, California",1791,2942,6016,17562,158293,179631
78,0500000US06095,"Solano County, California",64438,1568,66560,115178,219084,440207
79,0500000US06097,"Sonoma County, California",8632,4397,21487,133617,371195,503070
80,0500000US06099,"Stanislaus County, California",17096,3427,30615,247001,395715,541560
81,0500000US06101,"Sutter County, California",1672,653,14849,29441,69300,96651
82,0500000US06107,"Tulare County, California",6167,6233,20506,295148,340284,460437
83,0500000US06111,"Ventura County, California",14929,5746,60772,361514,681115,849738
84,0500000US06113,"Yolo County, California",5476,1835,30155,68027,151935,215802
85,0500000US06115,"Yuba County, California",2331,1046,3656,20931,56042,75275
86,0500000US08001,"Adams County, Colorado",15865,7677,19783,197275,402970,498187
87,0500000US08005,"Arapahoe County, Colorado",69336,3623,38563,120538,452406,637068
88,0500000US08013,"Boulder County, Colorado",3453,927,15560,44479,288623,322226
89,0500000US08014,"Broomfield County, Colorado",727,316,3943,8142,57480,66529
90,0500000US08031,"Denver County, Colorado",68262,5462,25721,209341,522284,693060
91,0500000US08035,"Douglas County, Colorado",4667,1294,15524,27883,294600,328632
92,0500000US08041,"El Paso County, Colorado",43539,3588,18301,114848,552441,688284
93,0500000US08059,"Jefferson County, Colorado",7314,3596,17174,86728,519734,571837
94,0500000US08069,"Larimer County, Colorado",3351,2714,7489,38109,307362,339993
95,0500000US08077,"Mesa County, Colorado",465,1384,1263,21567,140112,150083
96,0500000US08101,"Pueblo County, Colorado",4192,8264,1310,70613,133330,165123
97,0500000US08123,"Weld County, Colorado",3435,970,4523,85781,271892,294932
98,0500000US09001,"Fairfield County, Connecticut",110693,2811,50381,183634,696692,944177
99,0500000US09003,"Hartford County, Connecticut",120762,2763,45365,157226,636425,892389
100,0500000US09005,"Litchfield County, Connecticut",3345,196,4476,10794,170796,182571
101,0500000US09007,"Middlesex County, Connecticut",8763,5,4893,9936,145795,163329
102,0500000US09009,"New Haven County, Connecticut",110901,1827,35579,151149,635115,856875
103,0500000US09011,"New London County, Connecticut",15524,1730,12084,28048,218961,269801
104,0500000US09013,"Tolland County, Connecticut",5338,0,7366,8166,134939,151118
105,0500000US09015,"Windham County, Connecticut",3606,555,1806,13394,103169,116192
106,0500000US10001,"Kent County, Delaware",43984,961,3125,12050,115964,174827
107,0500000US10003,"New Castle County, Delaware",138491,1877,29993,54560,361605,556987
108,0500000US10005,"Sussex County, Delaware",27436,1217,2528,20542,181522,220251
109,0500000US11001,"District of Columbia, District of Columbia",320554,2004,26436,74422,277268,681170
110,0500000US12001,"Alachua County, Florida",52833,1166,16798,24760,182119,263496
111,0500000US12005,"Bay County, Florida",20489,317,5077,11605,151108,183974
112,0500000US12009,"Brevard County, Florida",57238,1254,14164,57096,478586,579130
113,0500000US12011,"Broward County, Florida",545324,5993,69401,548310,1163610,1909632
114,0500000US12015,"Charlotte County, Florida",11548,124,1660,12305,160324,178465
115,0500000US12017,"Citrus County, Florida",5412,261,2496,7781,133360,143621
116,0500000US12019,"Clay County, Florida",21159,51,5746,20059,166888,208311
117,0500000US12021,"Collier County, Florida",26142,987,4794,98529,321423,365136
118,0500000US12023,"Columbia County, Florida",13565,101,539,4142,52890,69299
119,0500000US12031,"Duval County, Florida",271278,2013,39936,85419,560080,926255
120,0500000US12033,"Escambia County, Florida",70316,1608,9687,17770,216766,315187
121,0500000US12035,"Flagler County, Florida",11765,0,2830,11128,90171,108310
122,0500000US12053,"Hernando County, Florida",9823,210,2262,22624,162269,182835
123,0500000US12055,"Highlands County, Florida",10396,74,1361,19278,78733,100917
124,0500000US12057,"Hillsborough County, Florida",228361,4763,54822,380000,971753,1376238
125,0500000US12061,"Indian River County, Florida",11560,459,1978,18231,129043,151563
126,0500000US12069,"Lake County, Florida",35729,1217,6718,49462,283513,335396
127,0500000US12071,"Lee County, Florida",60475,1457,11131,147834,615028,722336
128,0500000US12073,"Leon County, Florida",88212,521,10203,17962,177676,287822
129,0500000US12081,"Manatee County, Florida",33480,1015,7143,60563,320089,375888
130,0500000US12083,"Marion County, Florida",44143,194,4308,43714,286955,349020
131,0500000US12085,"Martin County, Florida",9164,965,1252,20941,139122,158701
132,0500000US12086,"Miami-Dade County, Florida",476506,4683,43745,1835413,2019915,2712945
133,0500000US12087,"Monroe County, Florida",6581,117,1156,18222,70409,79077
134,0500000US12089,"Nassau County, Florida",0,0,0,3383,0,80622
135,0500000US12091,"Okaloosa County, Florida",20398,590,5770,17474,155446,201170
136,0500000US12095,"Orange County, Florida",276302,1697,70844,401348,851713,1314367
137,0500000US12097,"Osceola County, Florida",40387,739,9588,175761,248442,336015
138,0500000US12099,"Palm Beach County, Florida",266755,1811,38391,309949,1079513,1443810
139,0500000US12101,"Pasco County, Florida",28037,1337,12829,73309,452055,512368
140,0500000US12103,"Pinellas County, Florida",97341,3117,33027,89405,784811,960730
141,0500000US12105,"Polk County, Florida",100793,1818,12565,140642,525140,666149
142,0500000US12107,"Putnam County, Florida",0,0,0,7067,0,72277
143,0500000US12109,"St. Johns County, Florida",12331,854,6363,15453,208208,235087
144,0500000US12111,"St. Lucie County, Florida",59949,1345,6005,56198,227646,306507
145,0500000US12113,"Santa Rosa County, Florida",10669,1460,3459,9232,146607,170497
146,0500000US12115,"Sarasota County, Florida",17710,1005,6544,36542,375600,412569
147,0500000US12117,"Seminole County, Florida",51494,449,19098,92716,354325,455479
148,0500000US12119,"Sumter County, Florida",8261,26,558,6839,110567,123996
149,0500000US12127,"Volusia County, Florida",55747,2528,9730,69040,441448,529364
150,0500000US12131,"Walton County, Florida",3771,216,631,4022,57530,65889
151,0500000US13013,"Barrow County, Georgia",8123,337,2902,7974,60355,77126
152,0500000US13015,"Bartow County, Georgia",10634,438,890,8773,87069,103807
153,0500000US13021,"Bibb County, Georgia",82574,98,3089,4855,61273,152760
154,0500000US13031,"Bulloch County, Georgia",21840,0,852,2792,48483,74722
155,0500000US13045,"Carroll County, Georgia",21088,121,1122,8060,87176,116261
156,0500000US13047,"Catoosa County, Georgia",0,0,0,1933,0,66398
157,0500000US13051,"Chatham County, Georgia",114139,650,6369,18300,151815,289082
158,0500000US13057,"Cherokee County, Georgia",16701,1120,5002,24274,207452,241689
159,0500000US13059,"Clarke County, Georgia",34893,181,5209,13413,78919,124707
160,0500000US13063,"Clayton County, Georgia",190956,926,14614,36732,43114,279462
161,0500000US13067,"Cobb County, Georgia",202244,3133,39953,96263,439448,748150
162,0500000US13073,"Columbia County, Georgia",24938,932,6402,9711,108438,147450
163,0500000US13077,"Coweta County, Georgia",25153,88,1696,9490,106080,140526
164,0500000US13089,"DeKalb County, Georgia",403352,5253,45634,63287,259015,740321
165,0500000US13095,"Dougherty County, Georgia",62375,258,799,2415,24254,90017
166,0500000US13097,"Douglas County, Georgia",67469,73,2242,13414,67268,142224
167,0500000US13113,"Fayette County, Georgia",23905,217,4945,7979,76827,111627
168,0500000US13115,"Floyd County, Georgia",13603,14,1623,10449,74482,96560
169,0500000US13117,"Forsyth County, Georgia",7490,387,25847,20614,179397,221009
170,0500000US13121,"Fulton County, Georgia",447187,9001,68259,74853,455532,1023336
171,0500000US13127,"Glynn County, Georgia",21354,317,1114,5811,58096,84502
172,0500000US13135,"Gwinnett County, Georgia",248723,1346,103900,189050,438099,907135
173,0500000US13139,"Hall County, Georgia",14687,412,3451,55075,168678,196637
174,0500000US13151,"Henry County, Georgia",94657,0,7935,14596,110602,221768
175,0500000US13153,"Houston County, Georgia",45011,622,4623,10061,93711,152122
176,0500000US13179,"Liberty County, Georgia",25722,295,940,7709,29415,62570
