,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
1,0500000US01003,"Baldwin County, Alabama",18338,2428,2160,10534,190912,223234
2,0500000US01015,"Calhoun County, Alabama",25226,201,225,4614,82323,113605
3,0500000US01043,"Cullman County, Alabama",0,0,0,3752,0,83768
4,0500000US01049,"DeKalb County, Alabama",688,792,17,10775,59305,71513
5,0500000US01051,"Elmore County, Alabama",17768,204,884,2563,61634,81209
6,0500000US01055,"Etowah County, Alabama",16040,290,796,4230,79988,102268
7,0500000US01069,"Houston County, Alabama",29736,93,946,3632,71582,105882
8,0500000US01073,"Jefferson County, Alabama",285001,1846,11523,26873,341788,658573
9,0500000US01077,"Lauderdale County, Alabama",10533,224,117,2652,79178,92729
10,0500000US01081,"Lee County, Alabama",37396,586,7191,6092,116738,164542
11,0500000US01083,"Limestone County, Alabama",13999,435,1695,6149,77744,98915
12,0500000US01089,"Madison County, Alabama",92197,2331,10309,19351,250321,372909
13,0500000US01095,"Marshall County, Alabama",3820,71,593,14272,90252,96774
14,0500000US01097,"Mobile County, Alabama",150159,2915,7779,12443,240449,413210
15,0500000US01101,"Montgomery County, Alabama",132115,816,7273,8344,78586,226486
16,0500000US01103,"Morgan County, Alabama",0,0,0,10465,0,119679
17,0500000US01115,"St. Clair County, Alabama",0,0,0,619,0,89512
18,0500000US01117,"Shelby County, Alabama",27252,1555,4070,12635,173941,217702
19,0500000US01121,"Talladega County, Alabama",26486,385,413,1913,50787,79978
20,0500000US01125,"Tuscaloosa County, Alabama",68660,87,3491,8308,134432,209355
21,0500000US01127,"Walker County, Alabama",0,0,0,1681,0,63521
22,0500000US02020,"Anchorage Municipality, Alaska",15207,25556,25976,26992,180389,288000
23,0500000US02090,"Fairbanks North Star Borough, Alaska",3962,8955,3173,7939,73145,96849
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",1699,8489,1681,5613,88690,108317
25,0500000US04001,"Apache County, Arizona",721,53480,160,4736,15109,71887
26,0500000US04003,"Cochise County, Arizona",6163,1006,2795,44988,108177,125922
27,0500000US04005,"Coconino County, Arizona",1364,37187,2730,20542,91649,143476
28,0500000US04013,"Maricopa County, Arizona",266128,93358,192301,1408855,3547155,4485414
29,0500000US04015,"Mohave County, Arizona",1496,4358,1923,35919,188756,212181
30,0500000US04017,"Navajo County, Arizona",1309,50892,193,12742,51262,110924
31,0500000US04019,"Pima County, Arizona",38343,40603,29276,395446,795391,1047279
32,0500000US04021,"Pinal County, Arizona",21264,25035,6642,142276,366928,462789
33,0500000US04025,"Yavapai County, Arizona",2020,4526,2543,34642,209030,235099
34,0500000US04027,"Yuma County, Arizona",3244,2900,2388,138130,189117,213787
35,0500000US05007,"Benton County, Arkansas",4371,4314,10818,47630,243511,279141
36,0500000US05031,"Craighead County, Arkansas",18031,188,1527,5793,86310,110332
37,0500000US05045,"Faulkner County, Arkansas",15337,194,1401,5276,104065,126007
38,0500000US05051,"Garland County, Arkansas",8275,849,951,5900,86188,99386
39,0500000US05069,"Jefferson County, Arkansas",0,0,0,1130,0,66824
40,0500000US05085,"Lonoke County, Arkansas",0,0,0,3350,0,73309
41,0500000US05119,"Pulaski County, Arkansas",147026,1365,8522,24494,216942,391911
42,0500000US05125,"Saline County, Arkansas",9375,246,1747,6292,107328,122437
43,0500000US05131,"Sebastian County, Arkansas",8891,1031,5647,18863,92977,127827
44,0500000US05143,"Washington County, Arkansas",9389,2251,6116,40999,188340,239187
45,0500000US05145,"White County, Arkansas",4524,768,0,3501,71325,78753
46,0500000US06001,"Alameda County, California",178246,12648,520313,373055,649209,1671329
47,0500000US06007,"Butte County, California",3984,2333,10365,37731,175765,219186
48,0500000US06013,"Contra Costa County, California",101590,5863,205366,300420,600481,1153526
49,0500000US06017,"El Dorado County, California",1644,2540,10114,25378,167011,192843
50,0500000US06019,"Fresno County, California",47391,13588,104859,537180,638792,999101
51,0500000US06023,"Humboldt County, California",2059,7073,3525,16354,106738,135558
52,0500000US06025,"Imperial County, California",3979,3791,2589,154088,125807,181215
53,0500000US06029,"Kern County, California",46432,8906,42066,491545,645240,900202
54,0500000US06031,"Kings County, California",8635,2804,5104,84514,115128,152940
55,0500000US06033,"Lake County, California",1247,2540,499,14171,50669,64386
56,0500000US06037,"Los Angeles County, California",811176,81491,1474713,4881970,5234081,10039107
57,0500000US06039,"Madera County, California",4138,1810,3838,92484,107073,157327
58,0500000US06041,"Marin County, California",7058,1534,16663,42160,204109,258826
59,0500000US06045,"Mendocino County, California",823,4610,1954,22379,73467,86749
60,0500000US06047,"Merced County, California",9337,2821,20581,169442,141038,277680
61,0500000US06053,"Monterey County, California",12231,2057,26860,257721,196483,434061
62,0500000US06055,"Napa County, California",3314,815,11552,47661,101380,137744
63,0500000US06057,"Nevada County, California",310,487,1243,9731,92832,99755
