,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white
91,0500000US08035,"Douglas County, Colorado",4918,1140,16920,29218,305402
92,0500000US08041,"El Paso County, Colorado",42690,6463,18137,119283,592403
93,0500000US08059,"Jefferson County, Colorado",5801,4791,16249,88333,536976
94,0500000US08069,"Larimer County, Colorado",3881,3058,7315,39371,325615
95,0500000US08077,"Mesa County, Colorado",1147,1054,1802,22078,144682
96,0500000US08101,"Pueblo County, Colorado",3050,6401,2051,71585,139087
97,0500000US08123,"Weld County, Colorado",3539,1457,4851,89303,284298
98,0500000US09001,"Fairfield County, Connecticut",103404,2828,52069,189042,715074
99,0500000US09003,"Hartford County, Connecticut",124617,2841,48514,161377,657002
100,0500000US09005,"Litchfield County, Connecticut",4349,391,3511,11498,171229
101,0500000US09007,"Middlesex County, Connecticut",10147,928,5172,10343,146260
102,0500000US09009,"New Haven County, Connecticut",116220,1202,34333,156118,655527
103,0500000US09011,"New London County, Connecticut",13584,2446,11426,28444,231238
104,0500000US09013,"Tolland County, Connecticut",5563,52,7171,8415,135255
105,0500000US09015,"Windham County, Connecticut",2694,580,1728,13596,106425
106,0500000US10001,"Kent County, Delaware",45791,576,3077,12703,124826
107,0500000US10003,"New Castle County, Delaware",138971,1654,33050,55724,374495
108,0500000US10005,"Sussex County, Delaware",25594,499,2803,21113,187051
109,0500000US11001,"District of Columbia, District of Columbia",318220,1690,28499,76526,301571
110,0500000US12001,"Alachua County, Florida",53605,1140,15687,26282,191687
111,0500000US12005,"Bay County, Florida",19950,892,4272,12090,155541
112,0500000US12009,"Brevard County, Florida",57969,2896,14471,61221,497715
113,0500000US12011,"Broward County, Florida",558202,5014,68978,574026,1229390
114,0500000US12015,"Charlotte County, Florida",10280,462,2572,13043,167157
115,0500000US12017,"Citrus County, Florida",3706,448,2845,8299,136792
116,0500000US12019,"Clay County, Florida",21174,465,6605,21010,175906
117,0500000US12021,"Collier County, Florida",26116,679,5839,103525,336645
118,0500000US12023,"Columbia County, Florida",12623,107,741,4337,55599
119,0500000US12031,"Duval County, Florida",282620,1709,47841,90568,582685
120,0500000US12033,"Escambia County, Florida",67044,1558,9036,17706,230176
121,0500000US12035,"Flagler County, Florida",11965,307,3064,11546,92402
122,0500000US12053,"Hernando County, Florida",9451,1212,2451,24827,170830
123,0500000US12055,"Highlands County, Florida",9993,247,1721,20375,86240
124,0500000US12057,"Hillsborough County, Florida",241839,4756,59406,402798,1057129
125,0500000US12061,"Indian River County, Florida",13257,179,1729,19285,138015
126,0500000US12069,"Lake County, Florida",38850,1239,7868,53353,282884
127,0500000US12071,"Lee County, Florida",60435,992,12951,156821,636101
128,0500000US12073,"Leon County, Florida",89637,229,9874,18690,185510
129,0500000US12081,"Manatee County, Florida",34437,1296,7836,62754,329764
130,0500000US12083,"Marion County, Florida",47418,1679,5945,46672,295090
131,0500000US12085,"Martin County, Florida",9350,1860,2118,22006,144332
132,0500000US12086,"Miami-Dade County, Florida",474196,5037,47099,1887266,2112758
133,0500000US12087,"Monroe County, Florida",5309,60,1243,18879,68697
134,0500000US12089,"Nassau County, Florida",0,0,0,3473,75237
135,0500000US12091,"Okaloosa County, Florida",19845,485,6368,18696,168589
136,0500000US12095,"Orange County, Florida",286324,2743,69335,423707,871237
137,0500000US12097,"Osceola County, Florida",42068,2422,8437,189157,263867
138,0500000US12099,"Palm Beach County, Florida",281793,3465,40139,328182,1104546
139,0500000US12101,"Pasco County, Florida",31286,1579,13287,79465,471879
140,0500000US12103,"Pinellas County, Florida",100199,3519,32975,93952,811152
141,0500000US12105,"Polk County, Florida",105452,2989,12151,153113,547885
142,0500000US12107,"Putnam County, Florida",0,0,0,7458,60700
143,0500000US12109,"St. Johns County, Florida",12042,1207,7282,16870,221389
144,0500000US12111,"St. Lucie County, Florida",62894,1047,6097,59625,237101
145,0500000US12113,"Santa Rosa County, Florida",10949,437,3746,9668,153564
146,0500000US12115,"Sarasota County, Florida",18729,388,7883,38272,389302
147,0500000US12117,"Seminole County, Florida",55994,1618,21515,98817,370642
148,0500000US12119,"Sumter County, Florida",9341,435,1152,7105,112983
149,0500000US12127,"Volusia County, Florida",59708,2149,10399,74582,447424
150,0500000US12131,"Walton County, Florida",3376,323,899,4290,60422
151,0500000US13013,"Barrow County, Georgia",9429,38,3000,8674,64668
152,0500000US13015,"Bartow County, Georgia",8234,13,1244,9058,92378
153,0500000US13021,"Bibb County, Georgia",84077,396,3191,5019,63647
154,0500000US13031,"Bulloch County, Georgia",21331,435,1124,2912,51728
155,0500000US13045,"Carroll County, Georgia",23333,1545,998,8290,90697
156,0500000US13047,"Catoosa County, Georgia",2189,118,1007,2053,61573
157,0500000US13051,"Chatham County, Georgia",112485,1431,6839,19122,160436
158,0500000US13057,"Cherokee County, Georgia",15168,459,5091,25621,223315
159,0500000US13059,"Clarke County, Georgia",34716,0,4979,13835,83338
160,0500000US13063,"Clayton County, Georgia",200852,802,14969,37927,50385
161,0500000US13067,"Cobb County, Georgia",209769,1128,39499,98915,470069
162,0500000US13073,"Columbia County, Georgia",24816,466,5589,10113,119613
163,0500000US13077,"Coweta County, Georgia",25323,236,3302,10092,113044
164,0500000US13089,"DeKalb County, Georgia",399972,10691,44788,65070,274736
165,0500000US13095,"Dougherty County, Georgia",61102,142,929,2554,25861
166,0500000US13097,"Douglas County, Georgia",69768,171,2141,13975,69840
167,0500000US13113,"Fayette County, Georgia",25204,52,5380,8285,77540
168,0500000US13115,"Floyd County, Georgia",13364,131,1214,10913,82281
169,0500000US13117,"Forsyth County, Georgia",6620,810,28861,21951,188472
170,0500000US13121,"Fulton County, Georgia",460597,1813,72843,76270,486898
171,0500000US13127,"Glynn County, Georgia",22447,341,1241,5944,60825
172,0500000US13135,"Gwinnett County, Georgia",259499,4985,106385,195111,463443
173,0500000US13139,"Hall County, Georgia",15498,625,3314,56984,174898
174,0500000US13151,"Henry County, Georgia",98814,85,7904,15516,117567
175,0500000US13153,"Houston County, Georgia",47041,391,4183,10337,100785
176,0500000US13157,"Jackson County, Georgia",4727,0,1368,5058,60317
177,0500000US13185,"Lowndes County, Georgia",42079,507,2665,6711,65720
178,0500000US13215,"Muscogee County, Georgia",90141,261,4864,14701,91320
179,0500000US13217,"Newton County, Georgia",47397,711,423,6070,56272
180,0500000US13223,"Paulding County, Georgia",31489,405,966,10046,125626
181,0500000US13245,"Richmond County, Georgia",113369,358,4102,10109,81272
182,0500000US13247,"Rockdale County, Georgia",48251,204,1780,9462,35361
183,0500000US13255,"Spalding County, Georgia",22098,368,657,3006,41874
184,0500000US13285,"Troup County, Georgia",25336,85,1505,2695,40401
185,0500000US13295,"Walker County, Georgia",2478,0,860,1518,65418
186,0500000US13297,"Walton County, Georgia",15308,135,1103,4024,73142
187,0500000US13313,"Whitfield County, Georgia",4384,46,1646,37119,96330
188,0500000US15001,"Hawaii County, Hawaii",986,692,43878,25492,114698
189,0500000US15003,"Honolulu County, Hawaii",21039,1338,427510,97824,376884
190,0500000US15007,"Kauai County, Hawaii",428,353,24574,7961,36014
191,0500000US15009,"Maui County, Hawaii",933,278,49637,18841,85553
192,0500000US16001,"Ada County, Idaho",5853,1774,11031,37569,429531
193,0500000US16005,"Bannock County, Idaho",442,3042,1530,7429,78565
194,0500000US16019,"Bonneville County, Idaho",772,362,1310,15026,103948
195,0500000US16027,"Canyon County, Idaho",1292,1438,1139,54873,187987
196,0500000US16055,"Kootenai County, Idaho",155,2570,1281,7272,151925
197,0500000US16083,"Twin Falls County, Idaho",790,322,2028,14005,79778
198,0500000US17001,"Adams County, Illinois",2595,170,436,1043,62980
199,0500000US17019,"Champaign County, Illinois",28725,315,21864,12501,156681
200,0500000US17031,"Cook County, Illinois",1219756,11809,378679,1327941,3053989
201,0500000US17037,"DeKalb County, Illinois",8835,93,1708,11691,90657
202,0500000US17043,"DuPage County, Illinois",44772,1372,107918,134167,740645
203,0500000US17089,"Kane County, Illinois",28381,4682,22835,171881,400185
204,0500000US17091,"Kankakee County, Illinois",17177,92,650,11613,89645
205,0500000US17093,"Kendall County, Illinois",9668,100,4499,23801,101928
206,0500000US17097,"Lake County, Illinois",48157,2491,53963,153833,537015
207,0500000US17099,"LaSalle County, Illinois",3146,89,1063,10792,101781
208,0500000US17111,"McHenry County, Illinois",4260,298,7413,40554,292982
209,0500000US17113,"McLean County, Illinois",14081,481,9441,8521,147529
210,0500000US17115,"Macon County, Illinois",15612,365,1044,2426,88205
211,0500000US17119,"Madison County, Illinois",23071,487,2478,8753,236696
212,0500000US17143,"Peoria County, Illinois",32492,395,7286,8827,140689
213,0500000US17161,"Rock Island County, Illinois",16288,684,3753,18765,121366
214,0500000US17163,"St. Clair County, Illinois",77270,395,2961,10810,174857
215,0500000US17167,"Sangamon County, Illinois",25653,210,4465,4508,165341
216,0500000US17179,"Tazewell County, Illinois",1885,68,1533,3099,129296
217,0500000US17183,"Vermilion County, Illinois",10770,84,756,3942,65814
218,0500000US17197,"Will County, Illinois",78542,814,39460,121150,516593
219,0500000US17199,"Williamson County, Illinois",2056,141,711,1783,63261
220,0500000US17201,"Winnebago County, Illinois",36651,904,7398,36408,233950
221,0500000US18003,"Allen County, Indiana",42254,869,14879,28041,308330
222,0500000US18005,"Bartholomew County, Indiana",3697,163,5991,5493,71138
223,0500000US18011,"Boone County, Indiana",0,0,0,2005,62007
224,0500000US18019,"Clark County, Indiana",7795,43,1364,6364,107301
225,0500000US18035,"Delaware County, Indiana",8285,0,859,2897,105606
226,0500000US18039,"Elkhart County, Indiana",11525,104,1666,32821,186658
227,0500000US18043,"Floyd County, Indiana",4417,39,922,2522,71154
228,0500000US18053,"Grant County, Indiana",5612,29,165,2913,60211
229,0500000US18057,"Hamilton County, Indiana",13635,887,19694,13131,285869
230,0500000US18059,"Hancock County, Indiana",0,0,0,1770,71514
231,0500000US18063,"Hendricks County, Indiana",10915,0,4405,6387,146485
232,0500000US18067,"Howard County, Indiana",0,0,0,2791,73532
233,0500000US18081,"Johnson County, Indiana",4189,209,4720,5622,143467
234,0500000US18085,"Kosciusko County, Indiana",355,73,1141,6325,76398
235,0500000US18089,"Lake County, Indiana",114738,1365,6545,92823,314090
236,0500000US18091,"LaPorte County, Indiana",12207,283,804,7301,94248
237,0500000US18095,"Madison County, Indiana",10406,418,832,5323,116436
238,0500000US18097,"Marion County, Indiana",261425,1538,29676,99920,631792
239,0500000US18105,"Monroe County, Indiana",4111,189,9374,5148,132349
240,0500000US18109,"Morgan County, Indiana",0,0,0,1089,68910
241,0500000US18127,"Porter County, Indiana",6688,173,2424,16894,157753
242,0500000US18141,"St. Joseph County, Indiana",34904,726,5847,23753,222541
243,0500000US18157,"Tippecanoe County, Indiana",9953,503,15867,16141,160926
244,0500000US18163,"Vanderburgh County, Indiana",16746,372,2963,4912,158662
245,0500000US18167,"Vigo County, Indiana",6300,269,2363,2891,97812
246,0500000US18177,"Wayne County, Indiana",3846,116,633,1938,61466
247,0500000US19013,"Black Hawk County, Iowa",11965,175,3250,5716,115400
248,0500000US19049,"Dallas County, Iowa",1643,0,4065,5320,79999
249,0500000US19061,"Dubuque County, Iowa",2621,311,1132,2391,90675
250,0500000US19103,"Johnson County, Iowa",8850,243,9499,8506,128998
251,0500000US19113,"Linn County, Iowa",12967,299,5593,7363,201279
252,0500000US19153,"Polk County, Iowa",30578,1340,23854,40637,414361
253,0500000US19155,"Pottawattamie County, Iowa",1094,447,320,7357,87901
254,0500000US19163,"Scott County, Iowa",12864,355,4986,11553,153451
255,0500000US19169,"Story County, Iowa",2724,175,8477,3420,85431
256,0500000US19193,"Woodbury County, Iowa",3258,2679,2845,17051,89800
257,0500000US20015,"Butler County, Kansas",1241,721,1078,3200,63543
258,0500000US20045,"Douglas County, Kansas",4777,3332,6496,7746,105426
259,0500000US20091,"Johnson County, Kansas",29563,2641,31044,45274,520516
260,0500000US20103,"Leavenworth County, Kansas",7659,749,600,5597,71464
261,0500000US20161,"Riley County, Kansas",3633,735,3816,6168,64802
262,0500000US20173,"Sedgwick County, Kansas",45944,2549,22820,75146,412030
263,0500000US20177,"Shawnee County, Kansas",15564,1031,3096,22136,154034
264,0500000US20209,"Wyandotte County, Kansas",36616,720,6809,47883,105330
265,0500000US21015,"Boone County, Kentucky",5119,126,2285,5619,120357
266,0500000US21029,"Bullitt County, Kentucky",732,131,692,1589,78491
267,0500000US21037,"Campbell County, Kentucky",3082,0,1198,1861,87594
268,0500000US21047,"Christian County, Kentucky",15474,268,1442,5474,52213
269,0500000US21059,"Daviess County, Kentucky",4340,150,1358,3049,94013
270,0500000US21067,"Fayette County, Kentucky",46595,814,11729,23136,253843
271,0500000US21093,"Hardin County, Kentucky",12801,169,2392,6250,91502
272,0500000US21111,"Jefferson County, Kentucky",168651,1145,23486,41220,566611
273,0500000US21117,"Kenton County, Kentucky",7039,204,1962,5400,153777
274,0500000US21145,"McCracken County, Kentucky",0,0,0,1578,57701
275,0500000US21151,"Madison County, Kentucky",3409,78,588,2226,86513
276,0500000US21185,"Oldham County, Kentucky",1565,131,1271,2633,63308
277,0500000US21227,"Warren County, Kentucky",11496,0,4229,6978,108340
278,0500000US22005,"Ascension Parish, Louisiana",27301,0,1558,6834,91357
279,0500000US22015,"Bossier Parish, Louisiana",29346,844,1644,8642,94336
280,0500000US22017,"Caddo Parish, Louisiana",118227,1146,3507,7144,120910
281,0500000US22019,"Calcasieu Parish, Louisiana",51096,234,3164,7305,145831
282,0500000US22033,"East Baton Rouge Parish, Louisiana",205147,1111,16138,18766,215300
283,0500000US22045,"Iberia Parish, Louisiana",24091,66,1658,3094,44914
284,0500000US22051,"Jefferson Parish, Louisiana",120320,1297,19292,65580,273983
285,0500000US22055,"Lafayette Parish, Louisiana",63343,430,5158,11608,170316
286,0500000US22057,"Lafourche Parish, Louisiana",13503,2888,826,4425,78778
287,0500000US22063,"Livingston Parish, Louisiana",0,0,0,5093,127427
288,0500000US22071,"Orleans Parish, Louisiana",234026,597,11587,22324,139486
289,0500000US22073,"Ouachita Parish, Louisiana",58924,56,1760,3600,94250
290,0500000US22079,"Rapides Parish, Louisiana",41836,1214,2268,4179,84596
291,0500000US22097,"St. Landry Parish, Louisiana",0,0,0,1826,48262
292,0500000US22103,"St. Tammany Parish, Louisiana",31453,1522,4623,14758,213823
293,0500000US22105,"Tangipahoa Parish, Louisiana",40033,246,991,5854,90907
294,0500000US22109,"Terrebonne Parish, Louisiana",21573,5297,769,5785,81485
295,0500000US23001,"Androscoggin County, Maine",1523,444,764,2063,104634
296,0500000US23003,"Aroostook County, Maine",550,1288,426,818,65308
297,0500000US23005,"Cumberland County, Maine",9429,312,6805,6210,274555
298,0500000US23011,"Kennebec County, Maine",727,1032,975,1888,118937
299,0500000US23019,"Penobscot County, Maine",1528,2179,1239,2018,146334
300,0500000US23031,"York County, Maine",914,945,2930,3477,199061
301,0500000US24001,"Allegany County, Maryland",6761,91,287,1284,64030
302,0500000US24003,"Anne Arundel County, Maryland",94836,1588,21508,45093,431564
303,0500000US24005,"Baltimore County, Maryland",240170,2946,51908,45895,518849
304,0500000US24009,"Calvert County, Maryland",9935,182,1605,3666,79018
305,0500000US24013,"Carroll County, Maryland",5755,569,3045,6033,156209
306,0500000US24015,"Cecil County, Maryland",6799,81,990,4556,93682
307,0500000US24017,"Charles County, Maryland",71868,814,5612,9281,78989
308,0500000US24021,"Frederick County, Maryland",22136,777,11534,24186,209416
309,0500000US24025,"Harford County, Maryland",34970,416,7828,11515,202882
310,0500000US24027,"Howard County, Maryland",59183,1338,59567,21973,193423
311,0500000US24031,"Montgomery County, Maryland",196882,3871,161254,207392,577071
312,0500000US24033,"Prince George's County, Maryland",574112,3114,39223,169039,162852
313,0500000US24037,"St. Mary's County, Maryland",16177,0,2872,5911,92648
314,0500000US24043,"Washington County, Maryland",15218,233,2966,7583,128502
315,0500000US24045,"Wicomico County, Maryland",26776,35,3276,5523,69807
316,0500000US24510,"Baltimore city, Maryland",383508,2347,16415,32495,195804
317,0500000US25001,"Barnstable County, Massachusetts",5650,1432,3691,6347,200526
318,0500000US25003,"Berkshire County, Massachusetts",3171,749,2194,5856,116650
319,0500000US25005,"Bristol County, Massachusetts",25711,0,12071,44843,484572
320,0500000US25009,"Essex County, Massachusetts",34787,1844,26451,165108,675882
321,0500000US25011,"Franklin County, Massachusetts",1031,42,1093,2856,68093
322,0500000US25013,"Hampden County, Massachusetts",43810,1232,11843,118654,391926
323,0500000US25015,"Hampshire County, Massachusetts",4660,230,8620,9136,146774
324,0500000US25017,"Middlesex County, Massachusetts",87322,2705,193082,128614,1273716
325,0500000US25021,"Norfolk County, Massachusetts",51178,1114,75549,31923,556872
326,0500000US25023,"Plymouth County, Massachusetts",48454,715,6553,20071,432123
327,0500000US25025,"Suffolk County, Massachusetts",183937,2133,71002,183025,480397
328,0500000US25027,"Worcester County, Massachusetts",41191,2894,40568,94698,715588
329,0500000US26005,"Allegan County, Michigan",1467,459,405,8587,112122
330,0500000US26017,"Bay County, Michigan",2368,565,467,5579,100258
331,0500000US26021,"Berrien County, Michigan",21647,758,2882,8515,126371
332,0500000US26025,"Calhoun County, Michigan",14591,555,2943,7067,114684
333,0500000US26037,"Clinton County, Michigan",1461,67,1369,3536,75199
334,0500000US26045,"Eaton County, Michigan",8143,764,2634,5803,96646
335,0500000US26049,"Genesee County, Michigan",80612,1479,4257,13900,316862
336,0500000US26055,"Grand Traverse County, Michigan",651,348,470,2665,89247
337,0500000US26065,"Ingham County, Michigan",33776,891,19047,22460,230566
338,0500000US26073,"Isabella County, Michigan",1646,2384,1264,2759,65379
339,0500000US26075,"Jackson County, Michigan",12625,491,1444,5601,143109
340,0500000US26077,"Kalamazoo County, Michigan",28004,522,6890,12997,224402
341,0500000US26081,"Kent County, Michigan",61593,2346,19330,68481,540149
342,0500000US26087,"Lapeer County, Michigan",1232,521,223,4120,85486
343,0500000US26091,"Lenawee County, Michigan",1795,746,264,7861,94354
344,0500000US26093,"Livingston County, Michigan",941,594,1908,4639,185783
345,0500000US26099,"Macomb County, Michigan",103697,2829,35972,22668,718788
346,0500000US26103,"Marquette County, Michigan",1264,466,56,1023,64529
347,0500000US26111,"Midland County, Michigan",1214,554,2111,2307,79157
348,0500000US26115,"Monroe County, Michigan",3447,883,1095,5387,143295
349,0500000US26121,"Muskegon County, Michigan",23676,794,920,9861,147484
350,0500000US26125,"Oakland County, Michigan",170526,3694,90633,50610,969870
351,0500000US26139,"Ottawa County, Michigan",4083,1456,7807,27790,264761
352,0500000US26145,"Saginaw County, Michigan",36006,885,2103,16202,149087
353,0500000US26147,"St. Clair County, Michigan",3704,182,773,5407,153470
354,0500000US26155,"Shiawassee County, Michigan",421,167,141,1992,67628
355,0500000US26159,"Van Buren County, Michigan",2284,802,542,8732,67822
356,0500000US26161,"Washtenaw County, Michigan",42926,1200,33274,17460,285587
357,0500000US26163,"Wayne County, Michigan",680499,5735,58440,103699,968052
358,0500000US27003,"Anoka County, Minnesota",21900,1863,15876,16052,301983
359,0500000US27013,"Blue Earth County, Minnesota",2315,0,1802,2406,62679
360,0500000US27019,"Carver County, Minnesota",1754,355,2262,4314,96758
361,0500000US27037,"Dakota County, Minnesota",26730,1108,19966,29905,359408
362,0500000US27053,"Hennepin County, Minnesota",167646,10508,90495,87112,933867
363,0500000US27109,"Olmsted County, Minnesota",9570,329,8327,7807,135049
364,0500000US27123,"Ramsey County, Minnesota",67086,3460,83579,41432,378732
365,0500000US27131,"Rice County, Minnesota",3596,163,1624,5320,57721
366,0500000US27137,"St. Louis County, Minnesota",3409,3642,2180,3401,189686
367,0500000US27139,"Scott County, Minnesota",6566,1261,9081,7572,125063
368,0500000US27141,"Sherburne County, Minnesota",2490,275,1262,2397,89000
369,0500000US27145,"Stearns County, Minnesota",9654,335,3869,5387,141616
370,0500000US27163,"Washington County, Minnesota",12153,1083,15352,10703,226357
371,0500000US27171,"Wright County, Minnesota",2498,571,1111,3978,129059
372,0500000US28033,"DeSoto County, Mississippi",47463,121,2430,8575,122642
373,0500000US28035,"Forrest County, Mississippi",28120,251,762,2159,46183
374,0500000US28047,"Harrison County, Mississippi",52095,1066,6363,11162,142886
375,0500000US28049,"Hinds County, Mississippi",175531,123,2024,3722,60590
376,0500000US28059,"Jackson County, Mississippi",32051,390,2685,9211,104053
377,0500000US28067,"Jones County, Mississippi",0,0,0,2987,46905
378,0500000US28075,"Lauderdale County, Mississippi",0,0,0,1710,41889
379,0500000US28081,"Lee County, Mississippi",25438,220,860,2239,58207
380,0500000US28089,"Madison County, Mississippi",40248,66,2354,3109,59231
381,0500000US28121,"Rankin County, Mississippi",31117,97,2047,4180,116238
382,0500000US29019,"Boone County, Missouri",14127,489,7569,6103,152007
383,0500000US29021,"Buchanan County, Missouri",3777,270,1200,6045,80066
384,0500000US29031,"Cape Girardeau County, Missouri",6193,10,971,1857,70520
385,0500000US29037,"Cass County, Missouri",4218,945,663,4637,95529
386,0500000US29043,"Christian County, Missouri",0,0,0,2505,83773
387,0500000US29047,"Clay County, Missouri",14319,1064,5771,16685,216572
388,0500000US29051,"Cole County, Missouri",9255,136,1235,2277,65865
389,0500000US29071,"Franklin County, Missouri",874,316,656,1782,101138
390,0500000US29077,"Greene County, Missouri",8814,1083,6075,10868,271625
391,0500000US29095,"Jackson County, Missouri",163883,2698,14018,64029,478398
392,0500000US29097,"Jasper County, Missouri",2418,2478,517,9728,111301
393,0500000US29099,"Jefferson County, Missouri",1946,392,1468,4421,219706
