,GEO_ID,NAME,tot_poverty,pov_150
113,0500000US05003,"Ashley County, Arkansas",3347,6216
114,0500000US05005,"Baxter County, Arkansas",5360,10215
115,0500000US05007,"Benton County, Arkansas",24767,48238
116,0500000US05009,"Boone County, Arkansas",5369,9846
117,0500000US05011,"Bradley County, Arkansas",2211,3488
118,0500000US05013,"Calhoun County, Arkansas",680,1439
119,0500000US05015,"Carroll County, Arkansas",4096,7610
120,0500000US05017,"Chicot County, Arkansas",2872,4355
121,0500000US05019,"Clark County, Arkansas",4017,6003
122,0500000US05021,"Clay County, Arkansas",3106,5002
123,0500000US05023,"Cleburne County, Arkansas",3452,5834
124,0500000US05025,"Cleveland County, Arkansas",1475,2597
125,0500000US05027,"Columbia County, Arkansas",5482,8060
126,0500000US05029,"Conway County, Arkansas",3649,6433
127,0500000US05031,"Craighead County, Arkansas",17130,29165
128,0500000US05033,"Crawford County, Arkansas",10609,18134
129,0500000US05035,"Crittenden County, Arkansas",10655,17168
130,0500000US05037,"Cross County, Arkansas",2555,5001
131,0500000US05039,"Dallas County, Arkansas",955,1799
132,0500000US05041,"Desha County, Arkansas",3363,5043
133,0500000US05043,"Drew County, Arkansas",3268,5480
134,0500000US05045,"Faulkner County, Arkansas",19778,32320
135,0500000US05047,"Franklin County, Arkansas",4005,6348
136,0500000US05049,"Fulton County, Arkansas",2491,4898
137,0500000US05051,"Garland County, Arkansas",18032,28491
138,0500000US05053,"Grant County, Arkansas",2596,4036
139,0500000US05055,"Greene County, Arkansas",7246,12620
140,0500000US05057,"Hempstead County, Arkansas",4892,7158
141,0500000US05059,"Hot Spring County, Arkansas",5658,9308
142,0500000US05061,"Howard County, Arkansas",2539,4248
143,0500000US05063,"Independence County, Arkansas",6049,11095
144,0500000US05065,"Izard County, Arkansas",1906,3551
145,0500000US05067,"Jackson County, Arkansas",3489,5782
146,0500000US05069,"Jefferson County, Arkansas",13960,21596
147,0500000US05071,"Johnson County, Arkansas",5833,9884
148,0500000US05073,"Lafayette County, Arkansas",1721,2618
149,0500000US05075,"Lawrence County, Arkansas",2497,4971
150,0500000US05077,"Lee County, Arkansas",1668,2738
151,0500000US05079,"Lincoln County, Arkansas",1667,2584
152,0500000US05081,"Little River County, Arkansas",1952,3616
153,0500000US05083,"Logan County, Arkansas",3995,6885
154,0500000US05085,"Lonoke County, Arkansas",8775,15222
155,0500000US05087,"Madison County, Arkansas",2798,5189
156,0500000US05089,"Marion County, Arkansas",2960,4931
157,0500000US05091,"Miller County, Arkansas",8456,13577
158,0500000US05093,"Mississippi County, Arkansas",10017,14887
159,0500000US05095,"Monroe County, Arkansas",1887,2622
160,0500000US05097,"Montgomery County, Arkansas",1875,2923
161,0500000US05099,"Nevada County, Arkansas",1883,2559
162,0500000US05101,"Newton County, Arkansas",1226,2117
163,0500000US05103,"Ouachita County, Arkansas",5428,8772
164,0500000US05105,"Perry County, Arkansas",1830,2999
165,0500000US05107,"Phillips County, Arkansas",6362,9009
166,0500000US05109,"Pike County, Arkansas",1627,3264
167,0500000US05111,"Poinsett County, Arkansas",5000,7490
168,0500000US05113,"Polk County, Arkansas",4747,7485
169,0500000US05115,"Pope County, Arkansas",11349,19523
170,0500000US05117,"Prairie County, Arkansas",1180,2221
171,0500000US05119,"Pulaski County, Arkansas",64988,106927
172,0500000US05121,"Randolph County, Arkansas",3241,6311
173,0500000US05123,"St. Francis County, Arkansas",5585,8774
174,0500000US05125,"Saline County, Arkansas",10815,18386
175,0500000US05127,"Scott County, Arkansas",1967,3680
176,0500000US05129,"Searcy County, Arkansas",1702,2834
177,0500000US05131,"Sebastian County, Arkansas",23271,39025
178,0500000US05133,"Sevier County, Arkansas",3590,5378
179,0500000US05135,"Sharp County, Arkansas",3743,6675
