,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
2069,0500000US39051,"Fulton County, Ohio",218,56,173,3502,40024,42466
2070,0500000US39053,"Gallia County, Ohio",824,104,199,368,28790,30376
2071,0500000US39055,"Geauga County, Ohio",1197,71,613,1217,90951,94020
2072,0500000US39057,"Greene County, Ohio",11689,238,4720,4308,141803,164325
2073,0500000US39059,"Guernsey County, Ohio",506,83,123,427,37839,39478
2074,0500000US39061,"Hamilton County, Ohio",207896,1131,19031,23300,549898,805965
2075,0500000US39063,"Hancock County, Ohio",1029,49,1286,3835,70392,75672
2076,0500000US39065,"Hardin County, Ohio",196,22,265,472,30512,31652
2077,0500000US39067,"Harrison County, Ohio",315,33,47,131,14882,15521
2078,0500000US39069,"Henry County, Ohio",141,28,115,2037,26390,27890
2079,0500000US39071,"Highland County, Ohio",513,39,190,384,41440,43109
2080,0500000US39073,"Hocking County, Ohio",259,7,74,245,27943,28690
2081,0500000US39075,"Holmes County, Ohio",80,78,32,392,43096,43702
2082,0500000US39077,"Huron County, Ohio",884,31,165,3528,55623,58704
2083,0500000US39079,"Jackson County, Ohio",244,14,50,316,31754,32717
2084,0500000US39081,"Jefferson County, Ohio",3758,166,271,900,61774,67607
2085,0500000US39083,"Knox County, Ohio",626,74,222,855,58773,60878
2086,0500000US39085,"Lake County, Ohio",8781,286,2885,9018,211270,229266
2087,0500000US39087,"Lawrence County, Ohio",1385,55,334,541,58678,61503
2088,0500000US39089,"Licking County, Ohio",5775,233,1878,2820,157242,169762
2089,0500000US39091,"Logan County, Ohio",756,24,334,637,43113,45388
2090,0500000US39093,"Lorain County, Ohio",25839,803,2951,28288,259775,304091
2091,0500000US39095,"Lucas County, Ohio",83111,1217,7577,29012,316376,434800
2092,0500000US39097,"Madison County, Ohio",2498,142,419,741,39364,43537
2093,0500000US39099,"Mahoning County, Ohio",36102,661,1867,12442,186987,233015
2094,0500000US39101,"Marion County, Ohio",3766,115,321,1605,59031,65620
2095,0500000US39103,"Medina County, Ohio",2624,324,2033,3288,167895,175543
2096,0500000US39105,"Meigs County, Ohio",288,18,51,130,22751,23345
2097,0500000US39107,"Mercer County, Ohio",200,3,182,718,39808,40886
2098,0500000US39109,"Miami County, Ohio",2058,117,1303,1574,97723,103864
2099,0500000US39111,"Monroe County, Ohio",44,24,45,72,14146,14442
2100,0500000US39113,"Montgomery County, Ohio",110098,1149,10427,13960,391493,532761
2101,0500000US39115,"Morgan County, Ohio",471,40,19,118,13849,14857
2102,0500000US39117,"Morrow County, Ohio",196,44,21,491,34143,35032
2103,0500000US39119,"Muskingum County, Ohio",2832,170,346,844,79381,85991
2104,0500000US39121,"Noble County, Ohio",795,17,15,114,13237,14429
