,GEO_ID,NAME,total_pop,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_85,pop_85_90,pop_18_24,total_male_pop,pop_male_0_5,pop_male_5_10,pop_male_10_15,pop_male_15_20,pop_male_20_25,pop_male_25_30,pop_male_30_35,pop_male_35_40,pop_male_40_45,pop_male_45_50,pop_male_50_55,pop_male_55_60,pop_male_60_65,pop_male_65_70,pop_male_70_75,pop_male_75_80,pop_male_80_85,pop_male_85_90,pop_male_105_110
578,0500000US40119,"Payne County, Oklahoma",81784,3924,4787,4220,8614,15041,6251,5480,4415,3833,3142,3342,3999,3392,3048,2835,2533,1666,1262,21055,40802,2197,2284,2295,3685,8266,3518,2913,2264,1889,1654,1609,1883,1583,1346,1280,1168,487,481,10688
579,0500000US40125,"Pottawatomie County, Oklahoma",72592,4386,3969,5924,5528,4523,4115,4524,4805,4775,4416,4178,5325,4190,3783,3058,2347,1490,1256,7239,35056,2333,1876,3193,2846,2118,2094,1985,2034,2527,2112,1984,2467,2037,1924,1325,1160,361,680,3432
580,0500000US40131,"Rogers County, Oklahoma",92459,5635,5007,7020,5704,5964,5888,5777,5705,5430,5959,5998,5943,6957,5219,3874,2420,2261,1698,7958,45991,2888,2569,3562,2923,3277,2954,2793,2723,2789,3071,2881,2790,3436,2273,2153,1010,945,954,4297
581,0500000US40143,"Tulsa County, Oklahoma",651552,45843,45172,46061,42606,41474,48956,46402,44343,40489,38970,36938,38753,39093,33682,23260,16531,10786,12193,57477,318039,23730,24040,22416,21877,20756,24403,22920,21620,20305,19165,18093,20093,17075,15263,10569,7614,4166,3934,29087
582,0500000US40145,"Wagoner County, Oklahoma",81289,4622,5582,5753,5510,4312,5018,5479,5377,5316,5572,4650,5985,4475,4359,3737,2673,1859,1010,6299,40503,2498,2838,3158,2930,2331,2255,2773,2325,2800,2613,2358,3307,1936,1993,1656,1324,975,433,3530
583,0500000US41003,"Benton County, Oregon",93053,3763,3308,4899,8439,15491,6602,4758,5774,5368,4665,4343,5007,5631,5168,4154,2242,1388,2053,21018,46081,1952,1950,2005,3884,8535,3734,2399,2782,2420,2263,2006,2602,2342,2349,2373,998,721,766,10950
584,0500000US41005,"Clackamas County, Oregon",418187,21839,25828,24580,24033,23770,24218,25717,30699,28127,26551,26685,27290,30439,25785,21987,13696,8303,8640,31689,206763,11050,13171,12684,12862,12333,12298,12881,15577,13739,13134,13104,13820,14109,12668,10037,6043,3939,3314,16704
585,0500000US41017,"Deschutes County, Oregon",197692,8409,12479,10182,11665,9917,12122,12341,13211,13155,14222,11832,12812,14675,13742,11679,6837,4930,3482,13603,98322,4175,6633,5746,5757,5257,6088,6298,6310,6936,7665,5588,7260,5559,6774,5268,2886,2961,1161,7155
586,0500000US41019,"Douglas County, Oregon",110980,5402,5011,7381,5638,5010,5945,6188,7061,5236,5755,6590,7656,8618,9336,7270,5065,3885,3933,7075,54265,2801,2577,3783,3043,2469,2833,3166,2989,3086,2626,3496,3937,3764,4368,3686,2317,1542,1782,3786
587,0500000US41029,"Jackson County, Oregon",220944,11654,12653,13339,11774,12122,13068,12476,14612,12073,12433,13767,14737,14782,16605,13929,8731,6294,5895,16827,107682,6216,5965,7482,6069,5608,7174,6052,6972,6412,6095,6805,6962,6608,7063,6941,3669,3606,1983,7927
588,0500000US41033,"Josephine County, Oregon",87487,4296,5139,4515,4691,3446,4536,5454,4816,4380,5050,5507,5058,7587,7103,6178,4773,2283,2675,5297,42341,2078,2318,2348,2526,2074,2146,2716,2641,1616,2487,2987,2864,3132,3777,2436,2045,889,1261,2901
589,0500000US41035,"Klamath County, Oregon",68238,4049,4738,3725,3193,4054,4307,4365,4546,3280,3905,3760,5029,4517,5176,3724,3361,1007,1502,5070,33578,1832,2493,1933,1608,2130,2307,2136,2637,1316,1974,1855,2403,2125,2315,1871,1805,357,481,2705
590,0500000US41039,"Lane County, Oregon",382067,18172,18132,21186,24786,34930,26285,23333,27131,21023,20374,21083,24653,24947,25281,21644,13146,8285,7676,47635,187103,9708,9113,10949,11675,17688,13254,11801,13737,10458,10186,10691,11882,11562,12422,9260,6315,3705,2697,23804
591,0500000US41043,"Linn County, Oregon",129749,6902,6861,9007,8554,7699,9055,8515,7079,8327,8659,7341,8760,8151,7963,6770,4407,2784,2915,10238,64495,3227,3750,4844,4362,3932,4849,4710,3423,3764,4417,3382,4379,3947,4491,2420,2064,1331,1203,5080
592,0500000US41047,"Marion County, Oregon",347818,22495,22848,24195,24855,22480,24348,24269,21319,23128,20208,20070,20432,20803,19041,14440,10298,6835,5754,32246,173152,11421,11979,12834,12896,11352,12520,12436,10492,11964,10406,10012,9401,10537,8164,7170,4336,3021,2211,16939
593,0500000US41051,"Multnomah County, Oregon",812855,42143,40791,43197,39665,47594,74253,77944,75112,61572,57431,48597,44728,46693,40485,32004,17920,10456,12270,63723,402920,22155,20813,21454,20895,23594,36203,39329,36343,31911,29564,25326,23018,22109,18311,15562,7845,4623,3865,31852
594,0500000US41053,"Polk County, Oregon",86085,4954,5498,5362,7361,7609,4375,5073,4820,5353,4431,5434,4485,5599,5039,4226,2574,1975,1917,11384,42138,2212,2996,2570,3063,4499,2337,2670,1830,2895,1989,2975,1673,3408,2125,2017,1018,1193,668,5816
595,0500000US41059,"Umatilla County, Oregon",77950,4653,5073,6651,5229,4234,6158,6159,4464,4617,4845,4395,4985,3898,4022,3690,2391,1183,1303,6415,40653,2434,1842,4263,2664,2821,3033,3723,2286,2441,2473,2170,1983,2364,2086,1970,1175,387,538,4115
