,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
1,0500000US01003,"Baldwin County, Alabama",3.6,56732.0,74892.0
2,0500000US01015,"Calhoun County, Alabama",9.3,41687.0,58992.0
3,0500000US01043,"Cullman County, Alabama",4.7,39411.0,54412.0
4,0500000US01049,"DeKalb County, Alabama",5.0,35963.0,48529.0
5,0500000US01051,"Elmore County, Alabama",4.9,52579.0,71553.0
6,0500000US01055,"Etowah County, Alabama",6.4,41152.0,55243.0
7,0500000US01069,"Houston County, Alabama",7.3,42321.0,59912.0
8,0500000US01073,"Jefferson County, Alabama",6.9,50180.0,74945.0
9,0500000US01077,"Lauderdale County, Alabama",7.3,43427.0,58691.0
10,0500000US01081,"Lee County, Alabama",5.8,48056.0,64562.0
11,0500000US01083,"Limestone County, Alabama",5.7,50872.0,69299.0
12,0500000US01089,"Madison County, Alabama",4.7,60503.0,85057.0
13,0500000US01095,"Marshall County, Alabama",6.4,42362.0,59315.0
14,0500000US01097,"Mobile County, Alabama",6.1,45744.0,61800.0
15,0500000US01101,"Montgomery County, Alabama",7.2,45395.0,65678.0
16,0500000US01103,"Morgan County, Alabama",5.1,44378.0,59794.0
17,0500000US01115,"St. Clair County, Alabama",5.0,60158.0,65740.0
18,0500000US01117,"Shelby County, Alabama",3.9,73647.0,91136.0
19,0500000US01121,"Talladega County, Alabama",7.8,39393.0,51776.0
20,0500000US01125,"Tuscaloosa County, Alabama",7.4,47787.0,65773.0
21,0500000US01127,"Walker County, Alabama",13.1,39068.0,50794.0
22,0500000US02020,"Anchorage Municipality, Alaska",5.2,85634.0,106393.0
23,0500000US02090,"Fairbanks North Star Borough, Alaska",10.3,77328.0,87359.0
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",13.2,69332.0,87787.0
25,0500000US04001,"Apache County, Arizona",10.9,34685.0,44505.0
26,0500000US04003,"Cochise County, Arizona",7.6,45508.0,55174.0
27,0500000US04005,"Coconino County, Arizona",8.7,55091.0,67297.0
28,0500000US04013,"Maricopa County, Arizona",5.4,58737.0,81501.0
