,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
214,0500000US17161,"Rock Island County, Illinois",5.3,58313.0,70342.0
215,0500000US17163,"St. Clair County, Illinois",4.7,57169.0,77996.0
216,0500000US17167,"Sangamon County, Illinois",5.6,61280.0,80923.0
217,0500000US17179,"Tazewell County, Illinois",3.8,65848.0,78686.0
218,0500000US17183,"Vermilion County, Illinois",8.3,43111.0,58935.0
219,0500000US17197,"Will County, Illinois",3.8,90134.0,108439.0
220,0500000US17199,"Williamson County, Illinois",3.7,58097.0,75721.0
221,0500000US17201,"Winnebago County, Illinois",6.9,59455.0,73962.0
222,0500000US18003,"Allen County, Indiana",3.7,56519.0,76589.0
223,0500000US18005,"Bartholomew County, Indiana",2.0,72555.0,87331.0
224,0500000US18011,"Boone County, Indiana",1.9,70813.0,126100.0
225,0500000US18019,"Clark County, Indiana",4.2,59064.0,73922.0
226,0500000US18035,"Delaware County, Indiana",6.4,45065.0,61483.0
227,0500000US18039,"Elkhart County, Indiana",3.1,54531.0,72420.0
228,0500000US18043,"Floyd County, Indiana",3.1,63219.0,81305.0
229,0500000US18053,"Grant County, Indiana",5.6,47206.0,60754.0
230,0500000US18057,"Hamilton County, Indiana",3.0,105062.0,138826.0
231,0500000US18059,"Hancock County, Indiana",3.5,69392.0,89907.0
232,0500000US18063,"Hendricks County, Indiana",2.8,85381.0,108107.0
233,0500000US18067,"Howard County, Indiana",5.7,53440.0,64442.0
234,0500000US18081,"Johnson County, Indiana",2.2,73651.0,95661.0
235,0500000US18085,"Kosciusko County, Indiana",3.9,64099.0,77934.0
236,0500000US18089,"Lake County, Indiana",6.0,57081.0,77171.0
237,0500000US18091,"LaPorte County, Indiana",3.2,56019.0,73242.0
238,0500000US18095,"Madison County, Indiana",5.3,55142.0,65461.0
239,0500000US18097,"Marion County, Indiana",5.5,50458.0,71045.0
240,0500000US18105,"Monroe County, Indiana",3.9,52453.0,73462.0
241,0500000US18109,"Morgan County, Indiana",2.6,62862.0,87745.0
242,0500000US18127,"Porter County, Indiana",4.4,72483.0,92719.0
243,0500000US18141,"St. Joseph County, Indiana",4.2,53456.0,74003.0
244,0500000US18157,"Tippecanoe County, Indiana",2.7,49352.0,70167.0
245,0500000US18163,"Vanderburgh County, Indiana",4.9,51350.0,72542.0
246,0500000US18167,"Vigo County, Indiana",8.4,48013.0,65988.0
247,0500000US18177,"Wayne County, Indiana",4.3,47944.0,61176.0
248,0500000US19013,"Black Hawk County, Iowa",5.1,60506.0,83308.0
249,0500000US19049,"Dallas County, Iowa",4.0,94885.0,119627.0
250,0500000US19061,"Dubuque County, Iowa",2.8,62178.0,80313.0
