,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
1,0500000US01003,"Baldwin County, Alabama",5.2,55342.0,74963.0
2,0500000US01015,"Calhoun County, Alabama",6.5,46763.0,65315.0
3,0500000US01043,"Cullman County, Alabama",7.2,45044.0,55370.0
4,0500000US01049,"DeKalb County, Alabama",4.1,39373.0,58474.0
5,0500000US01051,"Elmore County, Alabama",6.3,60558.0,75822.0
6,0500000US01055,"Etowah County, Alabama",6.0,41576.0,57242.0
7,0500000US01069,"Houston County, Alabama",5.4,44529.0,65653.0
8,0500000US01073,"Jefferson County, Alabama",6.6,50709.0,74553.0
9,0500000US01077,"Lauderdale County, Alabama",5.2,45352.0,61141.0
10,0500000US01081,"Lee County, Alabama",4.6,52943.0,69475.0
11,0500000US01083,"Limestone County, Alabama",4.5,55817.0,75077.0
12,0500000US01089,"Madison County, Alabama",4.8,62312.0,82659.0
13,0500000US01095,"Marshall County, Alabama",5.0,41476.0,59861.0
14,0500000US01097,"Mobile County, Alabama",4.9,46023.0,63728.0
15,0500000US01101,"Montgomery County, Alabama",5.4,45724.0,62324.0
16,0500000US01103,"Morgan County, Alabama",4.7,48563.0,63696.0
17,0500000US01115,"St. Clair County, Alabama",0.0,50934.0,59360.0
18,0500000US01117,"Shelby County, Alabama",4.1,73031.0,92753.0
19,0500000US01121,"Talladega County, Alabama",3.2,39731.0,53709.0
20,0500000US01125,"Tuscaloosa County, Alabama",6.1,52313.0,68087.0
21,0500000US01127,"Walker County, Alabama",8.5,41973.0,57531.0
22,0500000US02020,"Anchorage Municipality, Alaska",5.8,79166.0,100976.0
23,0500000US02090,"Fairbanks North Star Borough, Alaska",6.3,76747.0,93422.0
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",9.0,69121.0,86073.0
25,0500000US04001,"Apache County, Arizona",10.0,31671.0,43172.0
26,0500000US04003,"Cochise County, Arizona",6.8,51816.0,65303.0
27,0500000US04005,"Coconino County, Arizona",9.2,54893.0,74035.0
28,0500000US04013,"Maricopa County, Arizona",5.0,62223.0,85394.0
29,0500000US04015,"Mohave County, Arizona",7.6,42311.0,58052.0
30,0500000US04017,"Navajo County, Arizona",9.1,41295.0,55730.0
31,0500000US04019,"Pima County, Arizona",7.3,51425.0,71284.0
32,0500000US04021,"Pinal County, Arizona",6.5,52788.0,64837.0
33,0500000US04025,"Yavapai County, Arizona",6.0,50041.0,64830.0
34,0500000US04027,"Yuma County, Arizona",6.0,46798.0,60110.0
35,0500000US05007,"Benton County, Arkansas",2.9,63746.0,88119.0
36,0500000US05031,"Craighead County, Arkansas",4.6,50422.0,68849.0
37,0500000US05045,"Faulkner County, Arkansas",2.9,47964.0,66286.0
38,0500000US05051,"Garland County, Arkansas",6.9,46101.0,62006.0
39,0500000US05069,"Jefferson County, Arkansas",12.2,37678.0,51315.0
40,0500000US05085,"Lonoke County, Arkansas",5.7,51835.0,66774.0
41,0500000US05119,"Pulaski County, Arkansas",5.1,52450.0,75907.0
42,0500000US05125,"Saline County, Arkansas",4.5,59633.0,76235.0
43,0500000US05131,"Sebastian County, Arkansas",5.9,41917.0,57899.0
44,0500000US05143,"Washington County, Arkansas",6.5,50169.0,70650.0
45,0500000US05145,"White County, Arkansas",6.9,42443.0,61465.0
46,0500000US06001,"Alameda County, California",4.7,96296.0,125112.0
47,0500000US06007,"Butte County, California",7.2,49061.0,70280.0
48,0500000US06013,"Contra Costa County, California",5.2,95339.0,130188.0
49,0500000US06017,"El Dorado County, California",3.9,79414.0,101072.0
50,0500000US06019,"Fresno County, California",8.2,51800.0,73235.0
51,0500000US06023,"Humboldt County, California",6.3,46494.0,64858.0
52,0500000US06025,"Imperial County, California",13.5,47211.0,67264.0
53,0500000US06029,"Kern County, California",9.4,49854.0,67703.0
54,0500000US06031,"Kings County, California",6.7,57555.0,68727.0
55,0500000US06033,"Lake County, California",7.2,48930.0,66717.0
56,0500000US06037,"Los Angeles County, California",6.0,65006.0,94165.0
57,0500000US06039,"Madera County, California",8.6,51283.0,67518.0
58,0500000US06041,"Marin County, California",4.3,113908.0,170204.0
59,0500000US06045,"Mendocino County, California",6.3,53024.0,74881.0
60,0500000US06047,"Merced County, California",12.2,47735.0,69191.0
61,0500000US06053,"Monterey County, California",5.1,71274.0,92289.0
62,0500000US06055,"Napa County, California",4.4,86562.0,117159.0
63,0500000US06057,"Nevada County, California",3.5,65385.0,97007.0
64,0500000US06059,"Orange County, California",4.2,86217.0,115705.0
65,0500000US06061,"Placer County, California",4.0,80728.0,104407.0
66,0500000US06065,"Riverside County, California",7.8,63944.0,84811.0
67,0500000US06067,"Sacramento County, California",6.6,63045.0,85305.0
68,0500000US06071,"San Bernardino County, California",8.2,60420.0,77439.0
69,0500000US06073,"San Diego County, California",5.9,76207.0,103215.0
70,0500000US06075,"San Francisco County, California",3.8,110816.0,151667.0
71,0500000US06077,"San Joaquin County, California",6.4,61164.0,82227.0
72,0500000US06079,"San Luis Obispo County, California",3.8,71880.0,92729.0
73,0500000US06081,"San Mateo County, California",3.6,116653.0,163672.0
74,0500000US06083,"Santa Barbara County, California",5.7,71106.0,101807.0
75,0500000US06085,"Santa Clara County, California",4.0,119035.0,154891.0
76,0500000US06087,"Santa Cruz County, California",7.3,79705.0,111228.0
77,0500000US06089,"Shasta County, California",4.3,52439.0,73496.0
78,0500000US06095,"Solano County, California",6.7,77133.0,97373.0
79,0500000US06097,"Sonoma County, California",3.8,80409.0,103489.0
80,0500000US06099,"Stanislaus County, California",7.9,59514.0,75818.0
81,0500000US06101,"Sutter County, California",7.0,55062.0,71130.0
82,0500000US06107,"Tulare County, California",10.6,46266.0,64624.0
83,0500000US06111,"Ventura County, California",5.2,82857.0,110266.0
84,0500000US06113,"Yolo County, California",6.9,65729.0,95195.0
85,0500000US06115,"Yuba County, California",3.3,63120.0,71044.0
86,0500000US08001,"Adams County, Colorado",3.9,66517.0,79622.0
87,0500000US08005,"Arapahoe County, Colorado",3.9,75357.0,101911.0
88,0500000US08013,"Boulder County, Colorado",4.1,80834.0,113034.0
89,0500000US08014,"Broomfield County, Colorado",3.3,90939.0,111665.0
90,0500000US08031,"Denver County, Colorado",3.2,65224.0,96244.0
91,0500000US08035,"Douglas County, Colorado",2.6,111482.0,139110.0
92,0500000US08041,"El Paso County, Colorado",5.9,65370.0,83695.0
93,0500000US08059,"Jefferson County, Colorado",3.1,80616.0,100925.0
94,0500000US08069,"Larimer County, Colorado",4.9,69102.0,89304.0
95,0500000US08077,"Mesa County, Colorado",6.4,52742.0,68315.0
96,0500000US08101,"Pueblo County, Colorado",8.0,43148.0,58202.0
97,0500000US08123,"Weld County, Colorado",4.1,68884.0,83706.0
98,0500000US09001,"Fairfield County, Connecticut",6.6,91198.0,148996.0
99,0500000US09003,"Hartford County, Connecticut",6.1,70429.0,94553.0
100,0500000US09005,"Litchfield County, Connecticut",5.7,78436.0,100709.0
101,0500000US09007,"Middlesex County, Connecticut",5.1,79646.0,101247.0
102,0500000US09009,"New Haven County, Connecticut",6.9,66863.0,90654.0
103,0500000US09011,"New London County, Connecticut",4.7,71987.0,94134.0
104,0500000US09013,"Tolland County, Connecticut",3.4,72117.0,100872.0
105,0500000US09015,"Windham County, Connecticut",5.3,63573.0,76185.0
