,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
312,0500000US24033,"Prince George's County, Maryland",6.8,83034.0,101623.0
313,0500000US24037,"St. Mary's County, Maryland",2.6,92250.0,106262.0
314,0500000US24043,"Washington County, Maryland",6.0,63126.0,79183.0
315,0500000US24045,"Wicomico County, Maryland",7.0,57249.0,71123.0
316,0500000US24510,"Baltimore city, Maryland",6.8,51000.0,74942.0
317,0500000US25001,"Barnstable County, Massachusetts",4.0,68902.0,94443.0
318,0500000US25003,"Berkshire County, Massachusetts",4.3,60476.0,77385.0
319,0500000US25005,"Bristol County, Massachusetts",4.9,66205.0,88251.0
320,0500000US25009,"Essex County, Massachusetts",5.3,76604.0,109821.0
321,0500000US25011,"Franklin County, Massachusetts",3.3,59248.0,79786.0
322,0500000US25013,"Hampden County, Massachusetts",5.2,52372.0,74184.0
323,0500000US25015,"Hampshire County, Massachusetts",4.5,76966.0,95842.0
324,0500000US25017,"Middlesex County, Massachusetts",3.9,100517.0,134090.0
325,0500000US25021,"Norfolk County, Massachusetts",4.4,100356.0,141688.0
326,0500000US25023,"Plymouth County, Massachusetts",4.8,90484.0,115820.0
327,0500000US25025,"Suffolk County, Massachusetts",6.5,69985.0,102280.0
328,0500000US25027,"Worcester County, Massachusetts",4.6,71853.0,95428.0
329,0500000US26005,"Allegan County, Michigan",3.6,61353.0,73331.0
330,0500000US26017,"Bay County, Michigan",4.9,50606.0,66454.0
331,0500000US26021,"Berrien County, Michigan",4.7,51262.0,73729.0
332,0500000US26025,"Calhoun County, Michigan",5.7,47204.0,62362.0
333,0500000US26037,"Clinton County, Michigan",2.5,69522.0,81448.0
334,0500000US26045,"Eaton County, Michigan",5.0,67195.0,82681.0
335,0500000US26049,"Genesee County, Michigan",7.8,48127.0,66520.0
336,0500000US26055,"Grand Traverse County, Michigan",4.0,66163.0,85300.0
337,0500000US26065,"Ingham County, Michigan",6.1,52691.0,73255.0
338,0500000US26073,"Isabella County, Michigan",6.9,46198.0,64189.0
339,0500000US26075,"Jackson County, Michigan",6.7,51031.0,66668.0
340,0500000US26077,"Kalamazoo County, Michigan",6.2,55416.0,76214.0
341,0500000US26081,"Kent County, Michigan",4.8,61537.0,85481.0
342,0500000US26087,"Lapeer County, Michigan",5.1,65561.0,82183.0
343,0500000US26091,"Lenawee County, Michigan",3.9,55378.0,70326.0
344,0500000US26093,"Livingston County, Michigan",3.2,82884.0,100699.0
345,0500000US26099,"Macomb County, Michigan",4.4,62107.0,78874.0
346,0500000US26103,"Marquette County, Michigan",5.7,54779.0,66475.0
347,0500000US26111,"Midland County, Michigan",5.5,56091.0,81508.0
348,0500000US26115,"Monroe County, Michigan",4.6,61916.0,77934.0
349,0500000US26121,"Muskegon County, Michigan",5.2,50080.0,65118.0
350,0500000US26125,"Oakland County, Michigan",3.9,80193.0,107683.0
351,0500000US26139,"Ottawa County, Michigan",3.0,69952.0,86438.0
352,0500000US26145,"Saginaw County, Michigan",5.5,48990.0,68782.0
353,0500000US26147,"St. Clair County, Michigan",7.2,56441.0,74430.0
354,0500000US26155,"Shiawassee County, Michigan",4.1,54456.0,70227.0
355,0500000US26159,"Van Buren County, Michigan",4.0,59295.0,72589.0
356,0500000US26161,"Washtenaw County, Michigan",4.8,71860.0,101689.0
