,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white
1,0500000US01003,"Baldwin County, Alabama",18338,2428,2160,10534,195623
2,0500000US01015,"Calhoun County, Alabama",25226,201,225,4614,84545
3,0500000US01043,"Cullman County, Alabama",0,0,0,3752,81716
4,0500000US01049,"DeKalb County, Alabama",688,792,17,10775,61350
5,0500000US01051,"Elmore County, Alabama",17768,204,884,2563,62137
6,0500000US01055,"Etowah County, Alabama",16040,290,796,4230,81923
7,0500000US01069,"Houston County, Alabama",29736,93,946,3632,73303
8,0500000US01073,"Jefferson County, Alabama",285001,1846,11523,26873,349924
9,0500000US01077,"Lauderdale County, Alabama",10533,224,117,2652,81235
10,0500000US01081,"Lee County, Alabama",37396,586,7191,6092,118474
11,0500000US01083,"Limestone County, Alabama",13999,435,1695,6149,79811
12,0500000US01089,"Madison County, Alabama",92197,2331,10309,19351,259565
13,0500000US01095,"Marshall County, Alabama",3820,71,593,14272,91057
14,0500000US01097,"Mobile County, Alabama",150159,2915,7779,12443,248475
15,0500000US01101,"Montgomery County, Alabama",132115,816,7273,8344,82120
16,0500000US01103,"Morgan County, Alabama",0,0,0,10465,101140
17,0500000US01115,"St. Clair County, Alabama",0,0,0,619,77638
18,0500000US01117,"Shelby County, Alabama",27252,1555,4070,12635,178992
19,0500000US01121,"Talladega County, Alabama",26486,385,413,1913,52397
20,0500000US01125,"Tuscaloosa County, Alabama",68660,87,3491,8308,135504
21,0500000US01127,"Walker County, Alabama",0,0,0,1681,57761
22,0500000US02020,"Anchorage Municipality, Alaska",15207,25556,25976,26992,204184
23,0500000US02090,"Fairbanks North Star Borough, Alaska",3962,8955,3173,7939,78829
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",1699,8489,1681,5613,95535
25,0500000US04001,"Apache County, Arizona",721,53480,160,4736,15889
26,0500000US04003,"Cochise County, Arizona",6163,1006,2795,44988,113474
27,0500000US04005,"Coconino County, Arizona",1364,37187,2730,20542,97323
28,0500000US04013,"Maricopa County, Arizona",266128,93358,192301,1408855,3686959
29,0500000US04015,"Mohave County, Arizona",1496,4358,1923,35919,196065
30,0500000US04017,"Navajo County, Arizona",1309,50892,193,12742,54338
31,0500000US04019,"Pima County, Arizona",38343,40603,29276,395446,848158
32,0500000US04021,"Pinal County, Arizona",21264,25035,6642,142276,384828
