,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white
1,0500000US01003,"Baldwin County, Alabama",20554,1276,2338,10132,191157
2,0500000US01015,"Calhoun County, Alabama",24737,107,426,4469,87105
3,0500000US01043,"Cullman County, Alabama",906,301,166,3699,80522
4,0500000US01049,"DeKalb County, Alabama",1335,868,173,10595,61426
5,0500000US01051,"Elmore County, Alabama",17113,345,522,2467,62491
6,0500000US01055,"Etowah County, Alabama",17474,209,862,4116,82862
7,0500000US01069,"Houston County, Alabama",29214,66,700,3600,74364
8,0500000US01073,"Jefferson County, Alabama",282596,1786,9564,26246,351092
9,0500000US01077,"Lauderdale County, Alabama",9614,89,667,2644,81601
10,0500000US01081,"Lee County, Alabama",38323,453,6950,6164,117409
11,0500000US01083,"Limestone County, Alabama",13504,702,1377,5910,76850
12,0500000US01089,"Madison County, Alabama",88541,1201,9303,18577,257437
13,0500000US01095,"Marshall County, Alabama",3727,269,385,13768,89353
14,0500000US01097,"Mobile County, Alabama",150188,3056,8037,12648,246521
15,0500000US01101,"Montgomery County, Alabama",132366,518,7122,7937,81036
16,0500000US01103,"Morgan County, Alabama",17107,327,613,10067,92884
17,0500000US01115,"St. Clair County, Alabama",8976,155,715,2223,77414
18,0500000US01117,"Shelby County, Alabama",27162,372,4767,12466,175797
19,0500000US01121,"Talladega County, Alabama",27226,433,110,1242,51977
20,0500000US01125,"Tuscaloosa County, Alabama",67036,529,3471,8115,136977
21,0500000US01127,"Walker County, Alabama",3863,98,141,1633,58589
22,0500000US02020,"Anchorage Municipality, Alaska",16679,22022,28273,27107,208738
23,0500000US02090,"Fairbanks North Star Borough, Alaska",4941,8025,2956,8282,80724
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",901,8317,1943,5447,95529
25,0500000US04001,"Apache County, Arizona",411,53873,416,4590,16437
26,0500000US04003,"Cochise County, Arizona",4814,1738,2511,45172,114042
27,0500000US04005,"Coconino County, Arizona",1882,38177,2687,20389,94905
28,0500000US04013,"Maricopa County, Arizona",257889,91630,184809,1379637,3614022
29,0500000US04015,"Mohave County, Arizona",2409,4346,2518,35269,195108
30,0500000US04017,"Navajo County, Arizona",892,49902,636,12649,55963
31,0500000US04019,"Pima County, Arizona",37940,45440,30481,390183,823552
32,0500000US04021,"Pinal County, Arizona",19947,22140,7233,136046,376948
33,0500000US04025,"Yavapai County, Arizona",1876,2296,2581,34046,216974
34,0500000US04027,"Yuma County, Arizona",5942,2428,3254,136425,191309
35,0500000US05007,"Benton County, Arkansas",5133,3587,10627,45975,246053
36,0500000US05031,"Craighead County, Arkansas",17485,326,660,5624,86924
37,0500000US05045,"Faulkner County, Arkansas",13893,800,1626,5165,106017
38,0500000US05051,"Garland County, Arkansas",7374,1004,1048,5811,88950
39,0500000US05069,"Jefferson County, Arkansas",39238,230,659,1456,27291
40,0500000US05085,"Lonoke County, Arkansas",5335,178,618,3508,66397
41,0500000US05119,"Pulaski County, Arkansas",145102,2096,9042,24521,226066
42,0500000US05125,"Saline County, Arkansas",9542,321,1495,6030,108906
43,0500000US05131,"Sebastian County, Arkansas",8867,1289,6340,18659,97243
44,0500000US05143,"Washington County, Arkansas",8323,3461,6287,40606,186986
45,0500000US05145,"White County, Arkansas",3569,513,749,3464,73666
46,0500000US06001,"Alameda County, California",172152,10645,513491,373040,731674
47,0500000US06007,"Butte County, California",4019,2274,10017,38528,199636
48,0500000US06013,"Contra Costa County, California",101253,7347,195848,297255,692066
49,0500000US06017,"El Dorado County, California",1221,924,8834,24640,176608
50,0500000US06019,"Fresno County, California",45504,15894,103204,531677,680972
51,0500000US06023,"Humboldt County, California",1553,6438,4610,16155,115632
52,0500000US06025,"Imperial County, California",4201,1035,2801,153757,124429
53,0500000US06029,"Kern County, California",50289,8106,44299,483846,702552
54,0500000US06031,"Kings County, California",10428,1502,6833,83200,101386
55,0500000US06033,"Lake County, California",1546,3040,622,13717,49377
56,0500000US06037,"Los Angeles County, California",811476,76089,1492554,4915287,5506273
