,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150,pov_18_up
1,0500000US01003,"Baldwin County, Alabama",205767,120071,40016,35989,160087
2,0500000US01015,"Calhoun County, Alabama",111622,68496,18439,33965,86935
3,0500000US01043,"Cullman County, Alabama",81136,48826,14680,20773,63506
4,0500000US01049,"DeKalb County, Alabama",69913,41536,11478,28127,53014
5,0500000US01051,"Elmore County, Alabama",77016,46930,11467,17267,58397
6,0500000US01055,"Etowah County, Alabama",101432,60909,18030,27748,78939
7,0500000US01069,"Houston County, Alabama",102975,61687,17330,32755,79017
8,0500000US01073,"Jefferson County, Alabama",646109,398144,97011,161988,495155
9,0500000US01077,"Lauderdale County, Alabama",90030,54736,16582,24439,71318
10,0500000US01081,"Lee County, Alabama",152844,102172,17288,41038,119460
11,0500000US01083,"Limestone County, Alabama",89756,55459,13137,21563,68596
12,0500000US01089,"Madison County, Alabama",348090,219899,50405,75029,270304
13,0500000US01095,"Marshall County, Alabama",93424,55334,15450,30872,70784
14,0500000US01097,"Mobile County, Alabama",404347,245330,62120,114720,307450
15,0500000US01101,"Montgomery County, Alabama",218667,136842,30949,67054,167791
16,0500000US01103,"Morgan County, Alabama",116996,70314,19552,30412,89866
17,0500000US01115,"St. Clair County, Alabama",85982,51572,14211,16453,65783
18,0500000US01117,"Shelby County, Alabama",207968,128343,29124,31843,157467
19,0500000US01121,"Talladega County, Alabama",76745,46058,13378,22769,59436
20,0500000US01125,"Tuscaloosa County, Alabama",195321,128230,24650,51656,152880
21,0500000US01127,"Walker County, Alabama",64145,37716,12128,21341,49844
22,0500000US02020,"Anchorage Municipality, Alaska",290571,189876,28172,35762,218048
23,0500000US02090,"Fairbanks North Star Borough, Alaska",96375,63753,8554,15063,72307
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",102535,64181,10596,15663,74777
25,0500000US04001,"Apache County, Arizona",72147,40592,10633,32473,51225
26,0500000US04003,"Cochise County, Arizona",117620,64044,26333,39570,90377
27,0500000US04005,"Coconino County, Arizona",127592,82461,16510,35102,98971
28,0500000US04013,"Maricopa County, Arizona",4186451,2550778,613917,996595,3164695
29,0500000US04015,"Mohave County, Arizona",200525,105881,58633,57640,164514
30,0500000US04017,"Navajo County, Arizona",107257,58872,18096,44925,76968
31,0500000US04019,"Pima County, Arizona",987885,582116,191532,286702,773648
32,0500000US04021,"Pinal County, Arizona",390971,211259,83082,101613,294341
33,0500000US04025,"Yavapai County, Arizona",218023,116615,66915,52373,183530
34,0500000US04027,"Yuma County, Arizona",200375,110669,37779,65713,148448
35,0500000US05007,"Benton County, Arkansas",254895,153941,32676,49395,186617
36,0500000US05031,"Craighead County, Arkansas",101106,62268,13914,31949,76182
37,0500000US05045,"Faulkner County, Arkansas",116948,74500,14343,35436,88843
38,0500000US05051,"Garland County, Arkansas",95579,54617,20919,27941,75536
39,0500000US05069,"Jefferson County, Arkansas",64361,37717,10867,22333,48584
40,0500000US05085,"Lonoke County, Arkansas",71386,43599,9622,16667,53221
41,0500000US05119,"Pulaski County, Arkansas",386119,240159,55082,109058,295241
42,0500000US05125,"Saline County, Arkansas",117274,69625,20310,14006,89935
43,0500000US05131,"Sebastian County, Arkansas",126075,76365,19113,40901,95478
44,0500000US05143,"Washington County, Arkansas",220793,138769,25920,64110,164689
45,0500000US05145,"White County, Arkansas",75055,44695,12166,20975,56861
46,0500000US06001,"Alameda County, California",1621485,1068306,211331,267412,1279637
47,0500000US06007,"Butte County, California",220414,135785,39914,65872,175699
48,0500000US06013,"Contra Costa County, California",1125444,700532,167153,161728,867685
49,0500000US06017,"El Dorado County, California",184097,111316,35354,26786,146670
50,0500000US06019,"Fresno County, California",966379,574037,114036,359990,688073
51,0500000US06023,"Humboldt County, California",133208,84410,22770,43322,107180
52,0500000US06025,"Imperial County, California",171694,97133,22914,59840,120047
53,0500000US06029,"Kern County, California",852204,508793,89560,314259,598353
54,0500000US06031,"Kings County, California",134875,80558,14116,41771,94674
55,0500000US06033,"Lake County, California",63496,35317,14906,20560,50223
56,0500000US06037,"Los Angeles County, California",9989112,6485670,1281504,2693656,7767174
57,0500000US06039,"Madera County, California",146347,84713,19872,50091,104585
58,0500000US06041,"Marin County, California",254073,149023,52950,31299,201973
59,0500000US06045,"Mendocino County, California",86359,50132,17218,27956,67350
60,0500000US06047,"Merced County, California",263035,154967,28471,96607,183438
61,0500000US06053,"Monterey County, California",417791,250633,54132,103959,304765
62,0500000US06055,"Napa County, California",138247,84165,24749,18470,108914
63,0500000US06057,"Nevada County, California",98059,55335,25298,15394,80633
64,0500000US06059,"Orange County, California",3136217,1996094,437015,581583,2433109
65,0500000US06061,"Placer County, California",377789,222043,71105,47658,293148
66,0500000US06065,"Riverside County, California",2353864,1419395,328380,609457,1747775
67,0500000US06067,"Sacramento County, California",1494002,933414,203127,387654,1136541
68,0500000US06071,"San Bernardino County, California",2081216,1285240,231519,605110,1516759
69,0500000US06073,"San Diego County, California",3233771,2077943,438328,677340,2516271
70,0500000US06075,"San Francisco County, California",857255,614335,126801,141050,741136
71,0500000US06077,"San Joaquin County, California",720252,434233,88421,190305,522654
72,0500000US06079,"San Luis Obispo County, California",266721,163914,53285,45173,217199
73,0500000US06081,"San Mateo County, California",758012,485137,114096,81470,599233
74,0500000US06083,"Santa Barbara County, California",428197,264810,63949,103487,328759
75,0500000US06085,"Santa Clara County, California",1889316,1218935,240888,281328,1459823
76,0500000US06087,"Santa Cruz County, California",263072,169965,40442,57260,210407
77,0500000US06089,"Shasta County, California",176159,102887,35969,50875,138856
78,0500000US06095,"Solano County, California",428932,269270,63067,80681,332337
79,0500000US06097,"Sonoma County, California",495490,307201,90443,77629,397644
80,0500000US06099,"Stanislaus County, California",536626,323815,67809,151301,391624
81,0500000US06101,"Sutter County, California",95479,56715,14088,26157,70803
82,0500000US06107,"Tulare County, California",453738,264176,48898,182061,313074
83,0500000US06111,"Ventura County, California",837424,518679,122187,146701,640866
84,0500000US06113,"Yolo County, California",207888,137739,25406,57186,163145
85,0500000US06115,"Yuba County, California",73573,45120,8023,22153,53143
86,0500000US08001,"Adams County, Colorado",492398,309728,49094,105534,358822
87,0500000US08005,"Arapahoe County, Colorado",630769,401937,77556,94793,479493
88,0500000US08013,"Boulder County, Colorado",310494,205984,41806,52567,247790
89,0500000US08014,"Broomfield County, Colorado",66246,42177,8402,7913,50579
90,0500000US08031,"Denver County, Colorado",682515,467413,75667,153517,543080
91,0500000US08035,"Douglas County, Colorado",326841,202682,35983,19435,238665
92,0500000US08041,"El Paso County, Colorado",667991,419232,82253,130408,501485
93,0500000US08059,"Jefferson County, Colorado",562367,361077,87696,70339,448773
94,0500000US08069,"Larimer County, Colorado",331145,214870,49390,62083,264260
95,0500000US08077,"Mesa County, Colorado",147060,86997,26440,40171,113437
96,0500000US08101,"Pueblo County, Colorado",161407,95351,28519,48935,123870
97,0500000US08123,"Weld County, Colorado",288279,177276,33648,58154,210924
98,0500000US09001,"Fairfield County, Connecticut",925845,575731,135077,129949,710808
99,0500000US09003,"Hartford County, Connecticut",870087,542186,139636,150651,681822
100,0500000US09005,"Litchfield County, Connecticut",180678,111509,35375,22979,146884
101,0500000US09007,"Middlesex County, Connecticut",158051,98836,29290,20351,128126
102,0500000US09009,"New Haven County, Connecticut",830201,521648,134126,153225,655774
103,0500000US09011,"New London County, Connecticut",257750,160877,43997,40516,204874
104,0500000US09013,"Tolland County, Connecticut",135852,88020,21634,16101,109654
105,0500000US09015,"Windham County, Connecticut",111050,71414,17126,20613,88540
106,0500000US10001,"Kent County, Delaware",169798,101361,28379,37983,129740
107,0500000US10003,"New Castle County, Delaware",540302,341494,78560,95502,420054
108,0500000US10005,"Sussex County, Delaware",216764,120150,55696,35554,175846
109,0500000US11001,"District of Columbia, District of Columbia",647654,452477,76794,160646,529271
110,0500000US12001,"Alachua County, Florida",248007,167425,33574,84171,200999
111,0500000US12005,"Bay County, Florida",181492,111590,30461,44088,142051
112,0500000US12009,"Brevard County, Florida",573235,334954,132278,143922,467232
113,0500000US12011,"Broward County, Florida",1893618,1187919,302881,458422,1490800
114,0500000US12015,"Charlotte County, Florida",174558,83786,68391,41702,152177
115,0500000US12017,"Citrus County, Florida",139572,70810,50235,40588,121045
116,0500000US12019,"Clay County, Florida",206945,127173,30682,35707,157855
117,0500000US12021,"Collier County, Florida",362401,186610,112160,82107,298770
118,0500000US12023,"Columbia County, Florida",64115,37496,12129,18917,49625
119,0500000US12031,"Duval County, Florida",904630,575953,122134,216846,698087
120,0500000US12033,"Escambia County, Florida",296878,181558,50464,70677,232022
121,0500000US12035,"Flagler County, Florida",107767,56134,33007,25173,89141
122,0500000US12053,"Hernando County, Florida",180408,97070,49916,43048,146986
123,0500000US12055,"Highlands County, Florida",97965,48362,33703,34049,82065
124,0500000US12057,"Hillsborough County, Florida",1354249,858357,185791,337669,1044148
125,0500000US12061,"Indian River County, Florida",150348,77727,48012,38456,125739
126,0500000US12069,"Lake County, Florida",331863,178745,88076,72256,266821
127,0500000US12071,"Lee County, Florida",713021,387660,195524,163137,583184
128,0500000US12073,"Leon County, Florida",275796,187624,35024,79254,222648
129,0500000US12081,"Manatee County, Florida",371806,203650,98197,87173,301847
130,0500000US12083,"Marion County, Florida",337570,176433,98329,95097,274762
131,0500000US12085,"Martin County, Florida",155479,81763,47032,32752,128795
132,0500000US12086,"Miami-Dade County, Florida",2672145,1701422,424167,842469,2125589
133,0500000US12087,"Monroe County, Florida",77961,49136,17042,16122,66178
134,0500000US12089,"Nassau County, Florida",79711,47156,17013,12436,64169
135,0500000US12091,"Okaloosa County, Florida",195287,120396,31047,37810,151443
136,0500000US12095,"Orange County, Florida",1281519,844906,144149,355741,989055
137,0500000US12097,"Osceola County, Florida",334120,208451,43107,94294,251558
138,0500000US12099,"Palm Beach County, Florida",1424039,816423,331347,312334,1147770
139,0500000US12101,"Pasco County, Florida",504332,287967,114856,118773,402823
140,0500000US12103,"Pinellas County, Florida",946232,566218,222961,207913,789179
141,0500000US12105,"Polk County, Florida",652803,374202,131538,188691,505740
142,0500000US12107,"Putnam County, Florida",70904,40155,15539,25662,55694
143,0500000US12109,"St. Johns County, Florida",231315,137470,43792,29597,181262
144,0500000US12111,"St. Lucie County, Florida",303829,170909,71386,89657,242295
145,0500000US12113,"Santa Rosa County, Florida",163357,101187,25118,25717,126305
146,0500000US12115,"Sarasota County, Florida",407110,204739,143332,73421,348071
147,0500000US12117,"Seminole County, Florida",452332,288614,67836,86887,356450
148,0500000US12119,"Sumter County, Florida",114285,36593,69472,23199,106065
149,0500000US12127,"Volusia County, Florida",519158,303696,124133,132159,427829
150,0500000US12131,"Walton County, Florida",63804,38318,12720,10774,51038
151,0500000US13013,"Barrow County, Georgia",76668,47688,8776,18719,56464
152,0500000US13015,"Bartow County, Georgia",102749,63508,13508,28500,77016
153,0500000US13021,"Bibb County, Georgia",146422,87406,21687,53405,109093
154,0500000US13031,"Bulloch County, Georgia",66003,43675,8076,25118,51751
155,0500000US13045,"Carroll County, Georgia",112291,70117,14820,27708,84937
156,0500000US13047,"Catoosa County, Georgia",65625,39545,11141,10244,50686
157,0500000US13051,"Chatham County, Georgia",275625,173347,40679,71133,214026
158,0500000US13057,"Cherokee County, Georgia",239394,147976,31149,28089,179125
159,0500000US13059,"Clarke County, Georgia",114600,81401,12155,48181,93556
160,0500000US13063,"Clayton County, Georgia",273992,171009,24797,90768,195806
161,0500000US13067,"Cobb County, Georgia",737148,473422,84103,132922,557525
162,0500000US13073,"Columbia County, Georgia",146755,90524,18337,21096,108861
163,0500000US13077,"Coweta County, Georgia",138947,87028,17575,19986,104603
164,0500000US13089,"DeKalb County, Georgia",725695,473339,80501,200284,553840
165,0500000US13095,"Dougherty County, Georgia",86591,51860,12579,36804,64439
166,0500000US13097,"Douglas County, Georgia",140531,88069,15685,29895,103754
167,0500000US13113,"Fayette County, Georgia",111052,66180,19135,12079,85315
168,0500000US13115,"Floyd County, Georgia",92504,55346,14941,21457,70287
169,0500000US13117,"Forsyth County, Georgia",220212,132011,26453,22217,158464
170,0500000US13121,"Fulton County, Georgia",991572,651267,110666,230942,761933
171,0500000US13127,"Glynn County, Georgia",83335,49420,14699,23055,64119
172,0500000US13135,"Gwinnett County, Georgia",900628,569858,83933,180804,653791
173,0500000US13139,"Hall County, Georgia",194975,116482,27923,46280,144405
174,0500000US13151,"Henry County, Georgia",220488,138675,23799,42499,162474
175,0500000US13153,"Houston County, Georgia",149601,92819,18851,36371,111670
176,0500000US13179,"Liberty County, Georgia",60133,37750,5168,16023,42918
177,0500000US13185,"Lowndes County, Georgia",110404,69949,13260,33276,83209
178,0500000US13215,"Muscogee County, Georgia",189813,117320,24626,63801,141946
179,0500000US13217,"Newton County, Georgia",105573,64298,13021,33025,77319
180,0500000US13223,"Paulding County, Georgia",154632,96483,16661,27898,113144
181,0500000US13245,"Richmond County, Georgia",192296,120198,25987,70450,146185
182,0500000US13247,"Rockdale County, Georgia",88373,54168,11930,19472,66098
183,0500000US13285,"Troup County, Georgia",68200,41459,9547,20812,51006
184,0500000US13295,"Walker County, Georgia",66606,39852,11458,19294,51310
185,0500000US13297,"Walton County, Georgia",88636,53505,13067,20113,66572
186,0500000US13313,"Whitfield County, Georgia",103115,61467,13780,33049,75247
187,0500000US15001,"Hawaii County, Hawaii",195238,115301,37489,48904,152790
188,0500000US15003,"Honolulu County, Hawaii",960055,591858,160918,132480,752776
189,0500000US15007,"Kauai County, Hawaii",71444,42079,13252,9016,55331
190,0500000US15009,"Maui County, Hawaii",162611,100281,27055,26733,127336
191,0500000US16001,"Ada County, Idaho",436099,268071,60336,75503,328407
192,0500000US16005,"Bannock County, Idaho",82162,48731,11197,24560,59928
193,0500000US16019,"Bonneville County, Idaho",110716,61701,14753,21030,76454
194,0500000US16027,"Canyon County, Idaho",208114,118911,28004,60448,146915
195,0500000US16055,"Kootenai County, Idaho",152436,90403,27199,34602,117602
196,0500000US16083,"Twin Falls County, Idaho",82244,47042,12254,23427,59296
197,0500000US17001,"Adams County, Illinois",65050,38446,11846,13270,50292
198,0500000US17019,"Champaign County, Illinois",192334,130678,23603,54733,154281
199,0500000US17031,"Cook County, Illinois",5115390,3284041,683118,1232109,3967159
200,0500000US17037,"DeKalb County, Illinois",99374,65382,11608,24475,76990
201,0500000US17043,"DuPage County, Illinois",916826,574875,129192,106830,704067
202,0500000US17089,"Kane County, Illinois",525815,322663,65478,95493,388141
203,0500000US17091,"Kankakee County, Illinois",105009,63398,16528,25085,79926
204,0500000US17093,"Kendall County, Illinois",124323,75825,12696,9110,88521
205,0500000US17097,"Lake County, Illinois",686476,423958,89330,98910,513288
