,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150,pov_18_up
818,0500000US55105,"Rock County, Wisconsin",158918,96872,26391,30632,123263
819,0500000US55109,"St. Croix County, Wisconsin",88903,54499,12061,7088,66560
820,0500000US55117,"Sheboygan County, Wisconsin",112476,67196,20277,15189,87473
821,0500000US55127,"Walworth County, Wisconsin",100900,62337,17677,19425,80014
822,0500000US55131,"Washington County, Wisconsin",135033,81480,23804,11474,105284
823,0500000US55133,"Waukesha County, Wisconsin",397531,238646,73947,33536,312593
824,0500000US55139,"Winnebago County, Wisconsin",162762,101692,27320,29293,129012
825,0500000US55141,"Wood County, Wisconsin",72025,42242,14637,15025,56879
826,0500000US56021,"Laramie County, Wyoming",96907,58329,15839,16216,74168
827,0500000US56025,"Natrona County, Wyoming",77033,47301,11526,9991,58827
828,0500000US72013,"Arecibo Municipio, Puerto Rico",81497,48832,17928,52735,66760
829,0500000US72021,"Bayamón Municipio, Puerto Rico",166308,100226,36575,85742,136801
830,0500000US72025,"Caguas Municipio, Puerto Rico",123252,75741,25251,60230,100992
831,0500000US72031,"Carolina Municipio, Puerto Rico",146998,87823,32985,74203,120808
832,0500000US72061,"Guaynabo Municipio, Puerto Rico",83413,51610,18607,32782,70217
833,0500000US72097,"Mayagüez Municipio, Puerto Rico",71123,41782,17252,49012,59034
834,0500000US72113,"Ponce Municipio, Puerto Rico",130211,75783,28976,86360,104759
835,0500000US72127,"San Juan Municipio, Puerto Rico",315765,189089,71282,163973,260371
836,0500000US72135,"Toa Alta Municipio, Puerto Rico",70861,46676,10228,34310,56904
837,0500000US72137,"Toa Baja Municipio, Puerto Rico",74137,45768,14662,40043,60430
838,0500000US72139,"Trujillo Alto Municipio, Puerto Rico",63407,39247,12207,27254,51454
