,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150,pov_18_up
1,0500000US01003,"Baldwin County, Alabama",219405,126865,46838,44984,173703
2,0500000US01015,"Calhoun County, Alabama",110599,66508,20145,30186,86653
3,0500000US01043,"Cullman County, Alabama",82575,48836,15046,16518,63882
4,0500000US01049,"DeKalb County, Alabama",70682,41789,11511,20028,53300
5,0500000US01051,"Elmore County, Alabama",76605,46324,12362,16230,58686
6,0500000US01055,"Etowah County, Alabama",100640,59868,19575,30755,79443
7,0500000US01069,"Houston County, Alabama",104421,62095,18622,31305,80717
8,0500000US01073,"Jefferson County, Alabama",645037,391518,105640,172879,497158
9,0500000US01077,"Lauderdale County, Alabama",91068,53785,19028,25488,72813
10,0500000US01081,"Lee County, Alabama",158675,103444,20581,39565,124025
11,0500000US01083,"Limestone County, Alabama",95319,57642,15742,20888,73384
12,0500000US01089,"Madison County, Alabama",363294,226240,56664,67773,282904
13,0500000US01095,"Marshall County, Alabama",95577,55348,16182,24762,71530
14,0500000US01097,"Mobile County, Alabama",406842,244962,66629,107801,311591
15,0500000US01101,"Montgomery County, Alabama",217654,132033,34819,50958,166852
16,0500000US01103,"Morgan County, Alabama",116997,69662,21183,29001,90845
17,0500000US01115,"St. Clair County, Alabama",87209,52978,14207,15646,67185
18,0500000US01117,"Shelby County, Alabama",215009,129837,34966,24023,164803
19,0500000US01121,"Talladega County, Alabama",75919,45246,14163,20477,59409
20,0500000US01125,"Tuscaloosa County, Alabama",199237,127762,28102,51848,155864
21,0500000US01127,"Walker County, Alabama",61977,36861,11826,19799,48687
22,0500000US02020,"Anchorage Municipality, Alaska",281214,181572,31752,48985,213324
23,0500000US02090,"Fairbanks North Star Borough, Alaska",92600,59446,10882,9825,70328
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",105790,64321,13556,17711,77877
25,0500000US04001,"Apache County, Arizona",70651,40238,11550,32045,51788
26,0500000US04003,"Cochise County, Arizona",119881,64656,28660,34510,93316
27,0500000US04005,"Coconino County, Arizona",129443,83484,18513,32238,101997
28,0500000US04013,"Maricopa County, Arizona",4427300,2700001,690293,865874,3390294
29,0500000US04015,"Mohave County, Arizona",208280,108161,64953,55958,173114
30,0500000US04017,"Navajo County, Arizona",108451,59055,20411,44667,79466
31,0500000US04019,"Pima County, Arizona",1017001,595892,209699,230609,805591
32,0500000US04021,"Pinal County, Arizona",434444,238712,94936,89459,333648
33,0500000US04025,"Yavapai County, Arizona",229787,117448,76716,51135,194164
34,0500000US04027,"Yuma County, Arizona",207253,114440,40461,70240,154901
35,0500000US05007,"Benton County, Arkansas",275215,165767,37399,48348,203166
36,0500000US05031,"Craighead County, Arkansas",106414,66515,14129,28312,80644
37,0500000US05045,"Faulkner County, Arkansas",120947,76813,15636,30722,92449
38,0500000US05051,"Garland County, Arkansas",97858,55086,23483,28399,78569
39,0500000US05069,"Jefferson County, Arkansas",60421,34887,11289,20584,46176
40,0500000US05085,"Lonoke County, Arkansas",72528,44159,9958,13916,54117
41,0500000US05119,"Pulaski County, Arkansas",385112,234056,62171,102232,296227
42,0500000US05125,"Saline County, Arkansas",121089,70596,22383,20911,92979
43,0500000US05131,"Sebastian County, Arkansas",125884,74943,20894,35937,95837
44,0500000US05143,"Washington County, Arkansas",230244,145536,28317,66509,173853
45,0500000US05145,"White County, Arkansas",74944,44142,12915,23585,57057
46,0500000US06001,"Alameda County, California",1642900,1074841,234514,217258,1309355
47,0500000US06007,"Butte County, California",213523,130620,39773,49860,170393
48,0500000US06013,"Contra Costa County, California",1143399,703699,184280,148866,887979
49,0500000US06017,"El Dorado County, California",189968,111587,41885,26075,153472
50,0500000US06019,"Fresno County, California",981920,581148,123119,312911,704267
51,0500000US06023,"Humboldt County, California",132369,82482,24836,35289,107318
52,0500000US06025,"Imperial County, California",170050,95696,23625,64887,119321
53,0500000US06029,"Kern County, California",872223,518154,99984,290671,618138
54,0500000US06031,"Kings County, California",138401,81906,15583,37332,97489
55,0500000US06033,"Lake County, California",63532,36119,14177,19286,50296
56,0500000US06037,"Los Angeles County, California",9872009,6380173,1385408,2217451,7765581
57,0500000US06039,"Madera County, California",148449,83423,22343,44408,105766
58,0500000US06041,"Marin County, California",253444,144180,58452,27393,202632
59,0500000US06045,"Mendocino County, California",85168,47185,20007,21172,67192
60,0500000US06047,"Merced County, California",270830,160293,31292,72350,191585
61,0500000US06053,"Monterey County, California",416906,246094,59542,94344,305636
62,0500000US06055,"Napa County, California",134438,80915,26305,15394,107220
63,0500000US06057,"Nevada County, California",98775,54741,27299,18147,82040
64,0500000US06059,"Orange County, California",3138405,1979561,478660,481267,2458221
65,0500000US06061,"Placer County, California",395459,229983,78104,46408,308087
66,0500000US06065,"Riverside County, California",2427100,1463453,362756,470230,1826209
67,0500000US06067,"Sacramento County, California",1529955,952287,220843,313944,1173130
68,0500000US06071,"San Bernardino County, California",2130585,1314309,255835,491088,1570144
69,0500000US06073,"San Diego County, California",3255097,2074944,477200,567613,2552144
70,0500000US06075,"San Francisco County, California",867649,613604,139273,128608,752877
71,0500000US06077,"San Joaquin County, California",742138,446867,95509,178487,542376
72,0500000US06079,"San Luis Obispo County, California",267499,160916,58573,43814,219489
73,0500000US06081,"San Mateo County, California",761098,482938,124943,73284,607881
