,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150,pov_18_up
1,0500000US01003,"Baldwin County, Alabama",208868,122247,41946,33254,164193
2,0500000US01015,"Calhoun County, Alabama",111724,67411,19454,30355,86865
3,0500000US01043,"Cullman County, Alabama",81055,49216,14448,17756,63664
4,0500000US01049,"DeKalb County, Alabama",70727,42111,11518,25601,53629
5,0500000US01051,"Elmore County, Alabama",76708,46815,11805,12042,58620
6,0500000US01055,"Etowah County, Alabama",101679,60858,18642,27438,79500
7,0500000US01069,"Houston County, Alabama",103411,61691,17858,29816,79549
8,0500000US01073,"Jefferson County, Alabama",644575,398168,98040,169942,496208
9,0500000US01077,"Lauderdale County, Alabama",90424,54439,17792,19069,72231
10,0500000US01081,"Lee County, Alabama",155472,102787,18537,45150,121324
11,0500000US01083,"Limestone County, Alabama",91340,56075,14090,19537,70165
12,0500000US01089,"Madison County, Alabama",351404,220926,52558,73488,273484
13,0500000US01095,"Marshall County, Alabama",94437,55690,15309,31018,70999
14,0500000US01097,"Mobile County, Alabama",407816,246868,64019,125471,310887
15,0500000US01101,"Montgomery County, Alabama",219295,134721,32115,68525,166836
16,0500000US01103,"Morgan County, Alabama",116298,69752,20219,31320,89971
17,0500000US01115,"St. Clair County, Alabama",86113,51177,14407,22081,65584
18,0500000US01117,"Shelby County, Alabama",210793,128692,31714,28087,160406
19,0500000US01121,"Talladega County, Alabama",76498,45786,13425,24628,59211
20,0500000US01125,"Tuscaloosa County, Alabama",197923,128433,26306,47237,154739
21,0500000US01127,"Walker County, Alabama",62798,37514,11706,16713,49220
22,0500000US02020,"Anchorage Municipality, Alaska",285980,186586,29914,43157,216500
23,0500000US02090,"Fairbanks North Star Borough, Alaska",95018,61959,9495,14489,71454
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",104733,64184,12075,19678,76259
25,0500000US04001,"Apache County, Arizona",70470,40158,10699,34424,50857
26,0500000US04003,"Cochise County, Arizona",116856,63743,26559,30641,90302
27,0500000US04005,"Coconino County, Arizona",128286,82675,16520,36791,99195
28,0500000US04013,"Maricopa County, Arizona",4247306,2589441,632798,941859,3222239
29,0500000US04015,"Mohave County, Arizona",203442,106862,61178,57824,168040
30,0500000US04017,"Navajo County, Arizona",105351,58729,18183,39932,76912
31,0500000US04019,"Pima County, Arizona",992023,586603,193950,273331,780553
32,0500000US04021,"Pinal County, Arizona",405133,221936,85116,95655,307052
33,0500000US04025,"Yavapai County, Arizona",223575,116630,69751,53820,186381
34,0500000US04027,"Yuma County, Arizona",202343,113170,37314,61761,150484
35,0500000US05007,"Benton County, Arkansas",263413,158979,33983,42356,192962
36,0500000US05031,"Craighead County, Arkansas",102588,62702,14649,24768,77351
37,0500000US05045,"Faulkner County, Arkansas",119147,75488,15056,30094,90544
38,0500000US05051,"Garland County, Arkansas",96727,54387,22955,25855,77342
39,0500000US05069,"Jefferson County, Arkansas",62476,35887,11343,22945,47230
40,0500000US05085,"Lonoke County, Arkansas",72329,44043,9259,15041,53302
41,0500000US05119,"Pulaski County, Arkansas",386953,238981,57179,96985,296160
42,0500000US05125,"Saline County, Arkansas",118174,70570,19822,18180,90392
43,0500000US05131,"Sebastian County, Arkansas",126299,77263,18583,39095,95846
44,0500000US05143,"Washington County, Arkansas",223854,141873,25398,61358,167271
45,0500000US05145,"White County, Arkansas",75194,44675,12215,20121,56890
46,0500000US06001,"Alameda County, California",1636780,1075381,219776,238749,1295157
47,0500000US06007,"Butte County, California",222834,137335,40356,64880,177691
48,0500000US06013,"Contra Costa County, California",1138850,706569,173127,177747,879696
