,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150
144,0500000US12109,"St. Johns County, Florida",261736,150781,54902,25746
145,0500000US12111,"St. Lucie County, Florida",325399,181518,80414,61913
146,0500000US12113,"Santa Rosa County, Florida",177194,107672,30757,33719
147,0500000US12115,"Sarasota County, Florida",427475,209227,158886,59967
148,0500000US12117,"Seminole County, Florida",467578,296293,73611,78269
149,0500000US12119,"Sumter County, Florida",122539,35836,78029,17419
150,0500000US12127,"Volusia County, Florida",542036,312966,134126,122588
151,0500000US12131,"Walton County, Florida",72352,42889,14626,15293
152,0500000US13013,"Barrow County, Georgia",82527,51191,10335,11542
153,0500000US13015,"Bartow County, Georgia",106041,65015,15910,26196
154,0500000US13021,"Bibb County, Georgia",146526,87038,23573,51112
155,0500000US13031,"Bulloch County, Georgia",71375,47773,8871,21707
156,0500000US13045,"Carroll County, Georgia",116210,72097,16295,26568
157,0500000US13047,"Catoosa County, Georgia",67053,39915,11717,12560
158,0500000US13051,"Chatham County, Georgia",277382,172371,45406,68409
159,0500000US13057,"Cherokee County, Georgia",256722,157118,37961,31986
160,0500000US13059,"Clarke County, Georgia",116127,80298,14111,47975
161,0500000US13063,"Clayton County, Georgia",286761,179264,27584,78917
162,0500000US13067,"Cobb County, Georgia",746602,478943,94902,121463
163,0500000US13073,"Columbia County, Georgia",155650,95195,21845,11412
164,0500000US13077,"Coweta County, Georgia",147970,90461,21470,23656
165,0500000US13089,"DeKalb County, Georgia",743480,476605,96338,152951
166,0500000US13095,"Dougherty County, Georgia",84200,49631,14385,34657
167,0500000US13097,"Douglas County, Georgia",144305,90568,17348,25756
168,0500000US13113,"Fayette County, Georgia",113009,65827,21613,11519
169,0500000US13115,"Floyd County, Georgia",93975,55344,16422,25063
170,0500000US13117,"Forsyth County, Georgia",243387,147918,30291,17620
171,0500000US13121,"Fulton County, Georgia",1030412,679212,125000,200068
172,0500000US13127,"Glynn County, Georgia",84105,48757,17376,18482
173,0500000US13135,"Gwinnett County, Georgia",930272,584719,97554,167039
174,0500000US13139,"Hall County, Georgia",202448,121792,30657,44728
175,0500000US13151,"Henry County, Georgia",233177,146328,27832,34436
176,0500000US13153,"Houston County, Georgia",155680,96302,19712,31123
177,0500000US13157,"Jackson County, Georgia",71965,42732,10647,15443
178,0500000US13185,"Lowndes County, Georgia",112752,70559,14374,35437
179,0500000US13215,"Muscogee County, Georgia",189785,115561,26431,53391
180,0500000US13217,"Newton County, Georgia",110020,67170,14452,29103
181,0500000US13223,"Paulding County, Georgia",167704,106260,17766,21074
182,0500000US13245,"Richmond County, Georgia",192080,118385,28615,58065
183,0500000US13247,"Rockdale County, Georgia",89936,54600,13565,26680
184,0500000US13255,"Spalding County, Georgia",64851,37767,12009,15623
185,0500000US13285,"Troup County, Georgia",67642,41591,10367,22201
186,0500000US13295,"Walker County, Georgia",67762,40400,12664,18052
187,0500000US13297,"Walton County, Georgia",93319,56121,14716,17884
188,0500000US13313,"Whitfield County, Georgia",102796,61600,14769,25466
189,0500000US15001,"Hawaii County, Hawaii",198625,112219,43645,42722
190,0500000US15003,"Honolulu County, Hawaii",943455,567181,174983,118746
191,0500000US15007,"Kauai County, Hawaii",71467,40882,14996,10064
192,0500000US15009,"Maui County, Hawaii",165518,98120,31968,25619
193,0500000US16001,"Ada County, Idaho",470046,290096,70270,68574
194,0500000US16005,"Bannock County, Idaho",85173,51358,12090,22090
195,0500000US16019,"Bonneville County, Idaho",118274,66727,15400,23673
196,0500000US16027,"Canyon County, Idaho",226004,131036,32166,48886
197,0500000US16055,"Kootenai County, Idaho",163518,95110,31482,32057
198,0500000US16083,"Twin Falls County, Idaho",86152,47892,13802,17662
199,0500000US17001,"Adams County, Illinois",63738,37321,12476,12656
200,0500000US17019,"Champaign County, Illinois",194307,128314,27477,56726
201,0500000US17031,"Cook County, Illinois",5061831,3208503,754901,1054197
202,0500000US17037,"DeKalb County, Illinois",100352,65058,13069,19271
203,0500000US17043,"DuPage County, Illinois",910155,559126,145131,95053
204,0500000US17089,"Kane County, Illinois",524677,320289,74609,73019
205,0500000US17091,"Kankakee County, Illinois",105150,63862,17761,21415
206,0500000US17093,"Kendall County, Illinois",128659,78094,14585,9446
207,0500000US17097,"Lake County, Illinois",679573,414365,100245,84218
208,0500000US17099,"LaSalle County, Illinois",104738,62394,20161,20677
209,0500000US17111,"McHenry County, Illinois",304840,189081,45659,28721
210,0500000US17113,"McLean County, Illinois",161595,102905,22709,36411
211,0500000US17115,"Macon County, Illinois",100138,57381,20343,24024
212,0500000US17119,"Madison County, Illinois",257967,156328,44958,46605
213,0500000US17143,"Peoria County, Illinois",174216,102400,30216,43292
214,0500000US17161,"Rock Island County, Illinois",136642,78918,26653,30945
215,0500000US17163,"St. Clair County, Illinois",254964,155222,40850,50778
216,0500000US17167,"Sangamon County, Illinois",190267,113354,35239,38466
217,0500000US17179,"Tazewell County, Illinois",128884,73983,25110,21582
218,0500000US17183,"Vermilion County, Illinois",72794,41234,14170,22338
219,0500000US17197,"Will County, Illinois",680639,422472,91041,73260
220,0500000US17199,"Williamson County, Illinois",63954,37447,12631,13026
221,0500000US17201,"Winnebago County, Illinois",277569,164792,48875,74171
222,0500000US18003,"Allen County, Indiana",373251,222704,55092,76987
223,0500000US18005,"Bartholomew County, Indiana",82540,49294,13625,18229
224,0500000US18011,"Boone County, Indiana",66683,40367,9065,9838
225,0500000US18019,"Clark County, Indiana",116857,71443,19259,25158
226,0500000US18035,"Delaware County, Indiana",106480,67853,19058,33049
227,0500000US18039,"Elkhart County, Indiana",201420,116465,30187,38942
228,0500000US18043,"Floyd County, Indiana",76516,46692,12209,13988
229,0500000US18053,"Grant County, Indiana",59814,34552,12112,14392
230,0500000US18057,"Hamilton County, Indiana",335217,202885,43849,22998
231,0500000US18059,"Hancock County, Indiana",77218,47159,12896,9518
232,0500000US18063,"Hendricks County, Indiana",165335,102379,24049,12250
233,0500000US18067,"Howard County, Indiana",80726,46865,15431,15855
234,0500000US18081,"Johnson County, Indiana",154441,94549,22939,15336
235,0500000US18085,"Kosciusko County, Indiana",77978,45822,13344,13503
236,0500000US18089,"Lake County, Indiana",479832,288240,80422,109081
237,0500000US18091,"LaPorte County, Indiana",101804,59911,19011,24182
238,0500000US18095,"Madison County, Indiana",122962,72496,23854,28784
239,0500000US18097,"Marion County, Indiana",943196,594297,120556,252288
240,0500000US18105,"Monroe County, Indiana",131954,90988,19194,38625
241,0500000US18109,"Morgan County, Indiana",69117,42259,11470,11017
242,0500000US18127,"Porter County, Indiana",166619,102509,27394,25294
243,0500000US18141,"St. Joseph County, Indiana",258532,154440,42271,60309
244,0500000US18157,"Tippecanoe County, Indiana",178814,117279,21638,46420
245,0500000US18163,"Vanderburgh County, Indiana",174496,106293,29994,43542
246,0500000US18167,"Vigo County, Indiana",98462,60742,17237,29603
247,0500000US18177,"Wayne County, Indiana",62747,36231,12202,16788
248,0500000US19013,"Black Hawk County, Iowa",126488,77150,21611,25927
249,0500000US19049,"Dallas County, Iowa",92985,57161,10948,7488
250,0500000US19061,"Dubuque County, Iowa",93941,54682,17410,15353
251,0500000US19103,"Johnson County, Iowa",143912,96093,18153,32848
252,0500000US19113,"Linn County, Iowa",221056,134650,35421,40282
253,0500000US19153,"Polk County, Iowa",481812,297252,64989,83509
254,0500000US19155,"Pottawattamie County, Iowa",91059,53484,16381,19439
255,0500000US19163,"Scott County, Iowa",169534,101913,27457,31522
256,0500000US19169,"Story County, Iowa",85421,58501,12141,20182
